## 0101	シド
太田川水系	13.3634193
広島県のダム	13.3634193
福島県のダム	13.3624717
九州地方の一覧	6.7358947
北海道の地理	6.7344685
北海道	6.7344685
北海道の一覧	6.7344685
東北地方の一覧	6.7234015
関東地方の一覧	6.7225485
四国地方の一覧	6.7142367
日本の水力発電所	6.7083654
発電所の一覧	6.7083654
日本の水力発電	6.7016525
コンピュータゲームのタイトル一覧	6.698981
ゲーム関連の一覧	6.698981
英語の姓	6.6987805
高山市	6.6960897
岐阜県のダム	6.6960897
木曽川水系	6.6960897
中空重力式コンクリートダム	6.6960897
マルチプルアーチダム	6.695926
重力式アーチダム	6.695926
滋賀県のダム	6.6953444
淀川水系	6.6953444
日野町 (滋賀県)	6.6953444
日本の湖	6.692916
百選	6.692916
技術史	6.6921473
新潟県のダム	6.6911845
荒川水系 (羽越)	6.6911845
コズミック・イラ	6.689621
月刊少年エースの漫画作品	6.689621
漫画作品	6.689621
吉野川水系	6.6889505
南越前町	6.6889505
福井県のダム	6.6889505
九頭竜川水系	6.6889505
愛媛県のダム	6.6889505
新居浜市	6.6889505
兵庫県のダム	6.688776
神河町	6.688776
関西電力	6.688776
愛川町	6.6882763
みなかみ町	6.6877575
コンバインダム	6.6877575
芦別市	6.687433
バンダイビジュアルのアニメ作品	6.6874166
SDガンダム	6.6874166
ギャグアニメ	6.6874166
1988年のOVA	6.6874166
日光市	6.6867394
泉区 (仙台市)	6.686549
ダムの型式	6.686443
中止	6.685413
ガンダムシリーズの玩具	6.684916
1999年の日本	6.684916
アクションフィギュア	6.684916
1990年代の玩具	6.684916
北広島町	6.6845703
バンダイのゲームソフト	6.684482
PlayStation Vita用ソフト	6.684482
アクションゲーム	6.684482
2012年のコンピュータゲーム	6.684482
アートディンクのゲームソフト	6.684482
西郷村	6.683962
那珂川水系	6.683962
地理指標	6.683234
ダム開発	6.681957
三笠市	6.681957
年表	6.6810255
富山市の建築物	6.6806226
富山県のダム	6.6806226
常願寺川水系	6.6806226
コンピュータゲーム	6.6801157
ALL.Net	6.6801157
ガンダムシリーズのクロスオーバー作品	6.6801157
2012年のアーケードゲーム	6.6801157
機動戦士ガンダム vs.シリーズ	6.6801157
島根県のダム	6.6796803
奄美市	6.6796803
鹿児島県のダム	6.6796803
奥鬼怒温泉郷	6.6795177
北上川水系	6.6790533
宮城県	6.6790533
栗原市	6.6790533
朝倉市	6.6789126
福岡県のダム	6.6789126
筑後川水系	6.6789126
大町市	6.6789126
相模原市の建築物	6.6789126
緑区 (相模原市)	6.6789126
天栄村	6.6785097
阿武隈川水系	6.6785097
青山 (当別町)	6.6781683
当別町	6.6781683
和歌山県のダム	6.678133
有田川町	6.678133
長野市の建築物	6.678028
## 0103	R
数学に関する記事	311.1533501
ラテン文字	134.82265
環論	89.8138831
定理	41.4366585
電磁気学	34.6063623
代数的構造	34.578511999999996
可換環論	34.5417846
加群論	27.6755893
量子力学	27.674160999999998
数学	20.881539
物理学	20.843993599999997
音楽	20.7592525
分数	20.7424502
固体物理学	20.7377642
航空用レシプロエンジン	20.7309195
イデアル	20.717826799999997
力学	20.7177565
存命人物	20.7002095
アフリカ系アメリカ人のミュージシャン	20.7002095
アメリカ合衆国のR&B歌手	20.7002095
ミサイルの一覧	13.887615
物理学の定理	13.8815288
参照方法	13.8626793
数列	13.851796
初等数学	13.851796
ソ連・ロシアの空対空ミサイル	13.8429593
武器・兵器	13.8429593
アメリカ合衆国のバンド	13.8397498
アメリカ合衆国の連邦議会	13.8392639
ポテンシャルエネルギー	13.839108
天文学に関する記事	13.8311312
次元	13.828615500000002
確率分布	13.824757
体論	13.816379000000001
磁気	13.8148397
化学	13.8143363
問い合わせ言語	13.813296000000001
微分方程式	13.8095495
自然科学の法則	13.8028343
アメリカ合衆国のシンガーソングライター	13.799425
複素解析	13.792537
歌手	13.7880625
解析学	13.772721
アメリカ合衆国の潜水艦	6.9996486
植物	6.9753304
キンポウゲ科	6.9753304
有毒植物	6.9753304
座標	6.961325
振動と波動	6.960791
数論	6.9595766
整数の類	6.9595766
素数	6.9595766
微分法	6.9587493
位相線型空間	6.9587493
微分作用素	6.9587493
物理数学	6.958055
積分法	6.944887
数学の一覧	6.944887
中華人民共和国のミサイル	6.9416203
天文学の一覧	6.9408712
グラフ理論	6.9408712
組合せ論	6.9408712
変光星	6.9408712
離散数学	6.9408712
二項演算	6.9376855
ホモロジー代数	6.9376855
加群	6.935213
計算物理学	6.9349985
モータウンのアーティスト	6.9324684
JISの一覧	6.9303117
アルバム	6.929127
1965年のアルバム	6.929127
キンクスのアルバム	6.929127
不等式	6.9289837
論理学	6.9275928
演繹	6.9275928
曲線	6.9220705
ポピュラー音楽	6.9195027
音楽のジャンル	6.9195027
R&B	6.9195027
エポニム	6.9187393
局所化	6.9174776
ロシアの航空機用エンジン	6.9167128
ターボジェットエンジン	6.9167128
集合論	6.915331
公理	6.915331
天体物理学	6.9143295
行列理論	6.9133897
1954年生	6.912147
デトロイト出身の人物	6.912147
アメリカ合衆国のギタリスト	6.912147
リズムギタリスト	6.912147
ゲフィン・レコードのアーティスト	6.912147
RCAレコードのアーティスト	6.912147
MCAレコードのアーティスト	6.912147
全日本F3選手権	6.9115653
2001年の日本のモータースポーツ	6.9115653
レースレポート	6.9115653
モータースポーツ	6.9115653
EC 1.1.1	6.9103675
エーテル	6.9099817
テルル化物	6.9099817
キン肉マンのゲーム	6.9077396
バンプレストのゲームソフト	6.9077396
2002年のコンピュータゲーム	6.9077396
ゲームボーイアドバンス用ソフト	6.9077396
ユニバーサル ミュージック グループのアーティスト	6.9072814
ファンク	6.9072814
アメリカ合衆国のR&Bグループ	6.9072814
データモデリング	6.90627
データベース	6.90627
溶液化学	6.906192
物理化学	6.906192
力学系	6.904692
原理	6.904692
カチオン	6.9043546
有機硫黄化合物	6.9043546
物理量	6.90393
抽象代数学	6.903902
関数	6.9033575
量子化学	6.9033575
うず	6.901339
化学反応	6.9013186
有機化学	6.9013186
1963年生	6.9007845
アメリカ国防総省	6.899464
音声記号	6.899464
研究プロジェクト	6.899464
映画・ビデオのレイティング	6.8990803
映画作品の一覧	6.8990803
映画	6.8990803
成人向け映画	6.8990803
力 (自然科学)	6.898735
熱帯魚	6.8970475
トウゴロウイワシ目	6.8970475
魚類	6.8970475
界面活性剤	6.8960466
アスキーアート	6.8953247
視覚	6.8953247
代数幾何学	6.894427
補題	6.894427
抽象代数学の定理	6.894427
PlanetMath 由来の文章を含むウィキペディアの記事	6.8932457
滑らかな函数	6.8932457
位相ベクトル空間	6.8932457
フーリエ解析	6.8932457
散乱理論	6.89136
ボールドウィン製の蒸気機関車	6.8909144
1945年製の鉄道車両	6.8909144
鉄道	6.8909144
アメリカン・ロコモティブ製の蒸気機関車	6.8909144
蒸気機関車	6.8909144
フランスの鉄道車両	6.8909144
フラクタル	6.8903255
ブラックホール	6.89026
議論が行われているページ	6.889637
線型代数学	6.889637
関数解析学	6.888626
1951年生	6.887278
アダルト・コンテンポラリー	6.887278
サウスカロライナ州の人物	6.887278
グラミー賞受賞者	6.887278
幾何学	6.8862066
曲率 (数学)	6.8862066
一般相対性理論	6.885242
保存則	6.884095
級数	6.884095
初等幾何学	6.8838015
1944年生	6.8838015
2013年没	6.8838015
日本の工学者	6.8838015
東京工業大学の教員	6.8838015
日本の化学者	6.8838015
東京都出身の人物	6.8838015
## 0104	ハヤブサ
ハヤブサ科	873.795049
鳥類	742.0437420000001
Least concern	625.0870870000002
存命人物	427.656587
ワシントン条約附属書II	245.93665500000003
日本のAV女優	226.01440200000005
ワシントン条約附属書I	196.93664300000003
FMWの王座	170.633069
性風俗関係者	169.31173900000002
日本のプロレスラー	145.98191300000002
FMWに所属したプロレスラー	145.98191300000002
封印されたプロレスの王座	144.244336
隼エージェンシー女優	141.724585
東京都出身の人物	139.654697
忍者龍剣伝	138.881431
国内希少野生動植物種	134.82265
絶滅危惧IA類	134.82265
絶滅危惧II類	134.82265
Vulnerable	121.49693300000001
MOODYZ女優	114.877179
草野マサムネが制作した楽曲	113.685475
スピッツの楽曲	113.685475
プロレスのタッグチーム王座	112.659995
オートバイ	111.30002300000001
1968年生	88.582873
シングル	86.782248
ジュニアヘビー級のプロレスラー	86.461372
TMA女優	86.073088
クリスタル映像女優	85.386557
1988年生	85.26774499999999
E-BODY女優	85.021922
グレイズ女優	85.021922
プレステージ女優	85.021922
オーロラ・プロジェクト女優	83.567755
グローリークエスト女優	83.567755
サラブレッド	81.325823
タカ目	61.115927
格闘技	60.531133
2000年のシングル	59.505562
覆面レスラー	59.471864
Endangered	59.381371
現在活動していない日本のプロレス団体	58.503715
プロレス・エグゼクティブ	58.361443
1978年生	58.143722
ワンズファクトリー女優	58.109871
ワープエンタテインメント女優	58.109871
タカ科	58.055976
漫画	57.301037
ケイ・エム・プロデュース女優	57.208016
桃太郎映像女優	56.702663
アロマ企画女優	56.338028
ドグマ女優	56.338028
ディープス女優	56.291069
ドリームチケット女優	56.291069
タカラ映像女優	56.291069
PlayStation 3用ソフト	55.974328
スズキのオートバイの車種	55.765911
マドンナ女優	55.651497000000006
ROCKET女優	55.604538000000005
映天女優	55.604538000000005
妄想族女優	55.604538000000005
エジプト神話の神	55.348288
神話	55.348288
競馬の画像提供依頼	54.972704
日本調教の競走馬	54.972704
日本生産の競走馬	54.972704
プロレスのプロモーター	54.961141999999995
リングアナウンサー	54.961141999999995
Xbox 360用ソフト	54.813545
2008年のコンピュータゲーム	54.80479699999999
映画	54.338091
2001年のシングル	54.179913
日本の実業家	54.135963
群馬県出身の人物	54.106125
大仁田厚	54.044145
日本語の女性名	53.806454
文学	31.29555
2005年の小説	31.29555
球技を題材とした小説	31.29555
YA!ENTERTAINMENT	31.29555
ハンドボール	31.29555
日本のスポーツ小説	31.29555
セーシェル	30.952293
アフリカ	30.952293
Near threatened	30.762222
モーリシャス	30.658733
モーリシャス	30.658733
整数	30.425642
架空の養成学校を舞台とした作品	30.39781
漫画作品	30.39781
ジャンプスクエアの漫画作品	30.39781
パワードスーツを題材とした漫画作品	30.39781
クウェートの文化	30.13974
国章	30.13974
参照方法	29.993935
言葉を濁した記述のある記事 (いつ)/2013年4月-5月	29.993935
カタールの経済	29.877022
アジアの通貨	29.877022
各国の通貨	29.877022
アニメ作品 ま	29.843607
漫画作品	29.843607
カーレースアニメ	29.843607
カーレース漫画	29.843607
テレビ朝日系アニメ	29.843607
幼稚園 (雑誌)	29.843607
月刊少年ジャンプの漫画作品	29.843607
東映アニメーション	29.843607
架空の自動車	29.843607
アニメ	29.843607
1976年のテレビアニメ	29.843607
S1女優	29.782019
S級素人女優	29.782019
モブスターズ女優	29.782019
全日本プロレス	29.702953
四肢麻痺を持つ人物	29.702953
熊本県出身の人物	29.702953
ECWに参戦したプロレスラー	29.702953
宇宙企画女優	29.244799
1989年生	29.244799
ホタルを題材とした楽曲	29.080738
絶滅鳥類	29.080738
Extinct	29.080738
八頭町	28.667042
日本の鉄道駅 は	28.667042
1930年開業の鉄道駅	28.667042
日本国有鉄道の鉄道駅	28.667042
鳥取県の鉄道駅	28.667042
昭和時代戦前の建築	28.667042
西日本旅客鉄道の廃駅	28.667042
若桜鉄道	28.667042
鳥取県の登録有形文化財	28.667042
アイスリボンの関係者	28.65849
プロレス・トレーナー	28.65849
長崎県出身の人物	28.65849
日本の作曲家	28.604479
日本の作詞家	28.604479
1973年生	28.604479
DRAGON GATEの関係者	28.604479
横浜市出身の人物	28.604479
日本の音楽プロデューサー	28.604479
自動車	28.436743
モータースポーツ	28.436743
フォーミュラカー	28.436743
スズキの車種	28.436743
ビッグモーカル女優	28.374811
ラハイナ東海女優	28.374811
プロレスのヘビー級王座	28.374811
カワサキのオートバイの車種	28.34278
ゴーゴーズ女優	28.327852
H.m.p女優	28.327852
ミスター・インパクト女優	28.327852
Kawaii*女優	28.327852
神奈川県出身の人物	28.327852
OPPAI女優	28.327852
アイビーワークス女優	28.327852
マルクス兄弟	28.327852
1986年生	28.327852
エッチアールシー女優	28.327852
みるきぃぷりん♪女優	28.327852
アイエナジー女優	28.327852
エムズ・ビデオ・グループ女優	28.327852
2012年のコンピュータゲーム	28.176958
Wii U用ソフト	28.176958
イギリスを舞台とした作品	28.176958
ニンテンドーDS用ソフト	28.16821
テクモのゲームソフト	28.102306
PCエンジン用ソフト	28.102306
アニメ作品 に	28.102306
1991年のOVA	28.102306
バーチャルコンソール対応ソフト	28.102306
ファミリーコンピュータ用ソフト	28.102306
忍者アニメ	28.102306
1954年生	28.102306
出典を必要とする存命人物記事/2011年9月	28.102306
日本のナレーター	28.102306
日本の男性声優	28.102306
青二プロダクション	28.102306
1988年のアーケードゲーム	28.102306
デンマークの君主	27.963217
スターパラダイス女優	27.963217
スキョル家	27.963217
958年没	27.963217
生年不明	27.963217
アイデアポケット女優	27.963217
ダスッ!女優	27.963217
なでしこ女優	27.963217
日本のレコード会社	27.88288
DRAGON GATE	27.88288
東亜キネマの俳優	27.833311
満映の人物	27.833311
広島市出身の人物	27.833311
松竹の人物	27.833311
日本の映画監督	27.833311
松竹の俳優	27.833311
満州国の人物	27.833311
大都映画の俳優	27.833311
1904年生	27.833311
1991年没	27.833311
大都映画の人物	27.833311
日活の俳優	27.833311
死神	27.825779
芸術神	27.825779
2009年のコンピュータゲーム	27.79737
FMW	27.741493
1921年生 (競走馬)	27.696018
1943年没	27.696018
アメリカ合衆国のアクション映画	27.661253
2006年の映画	27.661253
香港を舞台とした映画作品	27.661253
日本を舞台とした映画作品	27.661253
アメリカ合衆国の冒険映画	27.661253
イギリスのアクション映画	27.661253
イギリスの冒険映画	27.661253
コンピュータゲームを原作とする映画作品	27.661253
サミット・エンターテインメントの作品	27.661253
ドイツの映画作品	27.661253
1963年生	27.630129
2004年没	27.630129
UWFの関係者	27.630129
ジャパン女子プロレス	27.630129
柔道出身のプロレスラー	27.630129
太陽神	27.522509
カモ科	27.522509
京都府出身の人物	27.522509
1990年生	27.522509
CSのトーク番組	27.4019
FIGHTING TV サムライ	27.4019
日本のプロレス番組	27.4019
フジテレビのテレビドラマ主題歌	27.276686
光夜蝶女優	27.276686
1987年生 (競走馬)	27.276686
日本供用種牡馬	27.276686
1992年生	27.276686
2003年没	27.276686
映画主題歌	27.276686
かつて存在した日本のオートバイメーカー	27.266853
かつて存在した愛知県の企業	27.266853
オートバイ	26.903227
ホ長調の曲	26.903227
TBS日曜劇場の主題歌	26.903227
英語の姓	26.903227
漫画作品	26.903227
漫画短編集	26.903227
エジプトの都市	26.676838
エジプト	26.676838
日本の恋愛映画	26.676838
日本のLGBT関連映画	26.676838
2004年の映画	26.676838
ドイツのオートバイメーカー・ブランド	26.676838
アルテ高崎の選手	26.583616
ベルマーレ平塚の選手	26.583616
釣り人	26.583616
特筆性の基準を満たしていないおそれのある記事/2014年5月	26.583616
1981年生	26.583616
サッカー選手	26.583616
出典を必要とする存命人物記事/2014年5月	26.583616
湘南ベルマーレの選手	26.583616
ヴァンフォーレ甲府の選手	26.583616
日本のサッカー選手	26.583616
日本のサッカー指導者	26.583616
WAR	26.471031
大阪プロレス	26.471031
プロレスのトーナメント戦	26.471031
新日本プロレスの興行	26.471031
みちのくプロレスの興行	26.471031
アパッチプロレス軍の王座	26.388733
イギリス生産の競走馬	26.353119
1903年生 (競走馬)	26.353119
没年不明	26.353119
2002年没	26.302652
1965年生	26.302652
FMWの関係者	26.302652
プロレスの関係者	26.302652
自殺した人物	26.302652
## 0105	ナポレオン
ボナパルト家	663.06389
フランス第一帝政の人物	459.311038
ナポレオン戦争	400.886182
フランス第一帝政	343.692909
歴史	257.68530499999997
フランス第一帝政の元帥	257.01130699999993
フランス第二帝政の人物	200.71705
参照方法	199.17750599999997
ボナパルティスト帝位請求者	173.88784099999998
パリ出身の人物	172.34613900000002
ナポレオン公	145.763314
フランスの亡命者	143.60665899999998
金羊毛騎士団員	143.56221499999998
ナポレオン戦争を題材とした作品	143.424318
軍事同盟	143.393002
フランス革命期の軍人	143.324137
コルシカの人物	142.760992
オーストリアの戦闘	142.565394
ナポレオン戦争の戦闘	142.514184
存命人物	115.11446600000001
フランス	114.926464
フランス革命を題材とした作品	114.853092
フランス皇帝	114.835848
フランスの王朝	87.42227700000001
ベルク大公	86.927595
フランス第二帝政	86.867103
ボアルネ家	86.50357399999999
歴史漫画	86.27010899999999
1769年生	86.089626
19世紀のヨーロッパ史	86.050428
サロン	85.643331
レジオンドヌール勲章受章者	85.604697
ロシア帝国の戦闘	85.573939
トリエステ出身の人物	57.984093
ホラント国王	57.979748
ベルサイユのばら	57.902238999999994
フランス復古王政	57.878172
書籍	57.826797
ジャコバン派	57.71225
ポーランドの貴族	57.704459
幼君	57.661013999999994
1763年生	57.64402
特殊部隊・傭兵・外人部隊出身者	57.615778
イタリアに存在した国	57.588667
ミラノの歴史	57.588667
ロンバルディアの歴史	57.588667
イタリア・フランス関係	57.588667
エミリア＝ロマーニャの歴史	57.588667
漫画	57.574923999999996
1815年のフランス	57.571726
1815年没	57.494673
漫画作品	57.489486
フランスの政治家	57.482433
クーデター政権指導者	57.457848
フランス革命期の衛星共和国	57.420187
1777年生	57.386276
1783年生	57.361013
1881年没	57.352148
1817年没	57.312685
ブリタニカ百科事典第11版	57.311976
1813年のドイツ	57.276171
1813年の戦闘	57.276171
プロイセンの戦闘	57.276171
スウェーデンの戦闘	57.276171
ザクセン王国	57.276171
フランスの外相	57.247465
フランスの歴史	57.211530999999994
宝塚歌劇団の作品	57.154208999999994
フランスの戦闘	57.126141000000004
フランス革命戦争	57.126141000000004
ドイツの歴史 (1806年-1870年)	57.073209
ヤングキングアワーズ	57.057013999999995
1766年生	57.054249999999996
1832年没	57.048027000000005
1805年のフランス	57.029322
1841年没	57.016123
フランスの貴族	57.010082
フランスの条約	56.996374
講和条約	56.996374
1778年生	56.956042
フランスのソーシャライト	56.939153000000005
リヨン出身の人物	56.869316
パリを舞台とした作品	56.834219000000004
コンピュータゲーム	56.780530999999996
ロシア帝国の戦争	56.753291000000004
1812年のロシア	56.589298
1812年の戦闘	56.589298
フランス語の男性名	29.652248
ドイツの王朝	29.514658
スペインの王朝	29.514658
イタリアの王朝	29.514658
1831年没	29.336584
1804年生	29.336584
フランスの政治	29.283144
君主主義	29.283144
フランスの保守思想家	29.283144
政治家による政治思想	29.283144
1891年没	29.279915
イタリア統一運動	29.279915
1822年生	29.279915
漫画作品	29.213095
池田理代子	29.213095
女性誌掲載漫画作品	29.213095
フランスの政治書	29.182741
1820年代の書籍	29.182741
軍事学書	29.182741
1926年没	29.112638
1862年生	29.112638
君主号	29.05357
1742年生	29.05357
教皇	29.05357
1823年没	29.05357
君主の一覧	29.05357
願掛け	29.05205
宝石	29.05205
印章	29.05205
アメリカ合衆国の火砲	29.038933
野砲	29.038933
