## IMINE2-J-001	cvs
オープンソース	241.53808900000004,
イリノイ州の企業	15.342936,0.8326352719907406
バージニア州の鉄道駅	14.843781,0.8391404463877455
東証一部上場企業	15.652477,0.8507648533950617
フリーパッケージ管理システム	13.348318,0.8411458333333333
かつて存在した日本のコンビニ	14.583309,0.8536206872795413
2D対戦型格闘ゲーム	12.8211,0.8422222911155203
DOS	12.383953,0.8411458333333333
ペンシルベニア州の企業	14.749153,0.8627495659722222
セブン-イレブン	15.652477,0.8712094907407406
慶應義塾體育會蹴球部の選手	14.374394,0.8736064895190326
旭硝子の人物	14.374394,0.8982349537037035
九州・沖縄地方のスーパーマーケット	13.031284,0.9001464843749999
倉敷市の企業	12.8211,0.9086197916666666
美浜区の企業	15.652477,0.9361496913580246
人物	12.157069,0.9166666666666666
大分市の企業	13.031284,0.9412940279206676
UNIXのソフトウェア	14.547215,0.9565007716049383
浦安市の企業	15.652477,0.9737041859567901
大崎市の企業	15.342936,0.9889005347650892
岡山市東区の企業	12.8211,0.9714151984739369
Windowsのソフトウェア	12.085634,0.9737041859567901
別府市	13.031284,0.9834031635802468
大野城市の企業	13.604694,0.9889005347650893
## IMINE2-J-002	ゆず
ゆずの楽曲	519.5341959999998,
シングル	386.88454299999995,0.2010850975909914
北川悠仁が制作した楽曲	386.41475849999995,0.5306539455460912
存命人物	36.170109,0.1284722222222222
ゆずのアルバム	243.51335599999996,0.5747049456647102
岩沢厚治が制作した楽曲	205.914561,0.5306539455460912
同名の地名	11.986378,0.18339901881544277
1947年設立の企業	12.154158,0.3004148820441882
スポーツ音楽	11.935519,0.3035143705279957
子供への虐待を扱った作品	11.966665,0.30516952070443476
名数5	12.105552,0.3054924932299576
精油	26.964529,0.3488387461004248
アルバム	96.986976,0.48779130668535486
ヘ長調の曲	72.5007315,0.44582843712491427
日本語の姓	11.986378,0.3312396156858732
1983年生	24.250203,0.3565004137757528
育児を題材とした作品	11.966665,0.34039998450848774
音楽プロダクション	12.114659,0.34226861349310395
2006年没	11.841866,0.3499082846341174
ゆずの映像作品	120.90892200000002,0.5589861325050451
ハ長調の曲	60.381635,0.44582843712491427
ト長調の曲	60.360186,0.44582843712491427
1931年生	11.841866,0.3565004137757528
イ長調の曲	48.266760000000005,0.44582843712491427
レースクイーン	12.130603,0.3874769274755361
日本の調味料	26.964529,0.4200146456685621
オリコンアルバムチャート1位獲得作品	121.07690500000001,0.6018053392921969
日本の俳優	12.130603,0.40387714736582647
音楽	48.200439,0.48193686873257047
ホ長調の曲	36.527842,0.4719756531084656
日本の食品メーカー	12.154158,0.4258839546644234
お笑い芸人	11.919906,0.4259718750124257
コマーシャルソング	12.269334,0.43112445522692894
太陽を題材とした楽曲	12.082109,0.4369770317319341
日本のタレント	12.1196,0.4378267125917047
果物	26.964529,0.47049713516671415
漫画	36.137851,0.49178059083679687
ニ長調の曲	24.302463,0.4719756531084656
変ト長調の曲	24.129371499999998,0.4719756531084656
いじめを題材とした漫画作品	11.966665,0.45205676823448765
小田和正の楽曲	12.269334,0.46048494230222164
2010年の音楽関連の映像作品	24.195013000000003,0.4919677196943484
いじめを題材としたアニメ作品	11.966665,0.46790407377146676
応援歌	11.935519,0.4697080056685549
菓子のコマーシャルソング	12.195061,0.4712708531401565
ロ長調の曲	12.175422,0.4719756531084656
変ニ長調の曲	12.154158,0.4719756531084656
変ホ長調の曲	12.104538,0.4719756531084656
りぼんの漫画を原作とするアニメ作品	11.966665,0.47189872361954366
変イ長調の曲	11.964786,0.4719756531084656
日本の写真家	11.841866,0.47665663595795743
秋の季語	26.964529,0.5198094944222263
アイドル番組	12.115425,0.48859037826596613
恋愛漫画	12.195061,0.4907835523176525
神道	12.012744,0.4913792517006803
アニメ	11.966665,0.4958463541666666
テレビ番組	12.115425,0.4965613425925926
ラジオ番組	11.957121,0.4965613425925926
日本のお笑いコンビ	12.141892,0.49709415025673415
お笑い芸人	11.919906,0.49709415025673415
継続中の作品	12.115425,0.5010416666666666
人物の愛称	12.320051,0.5030092592592592
キャラクター	12.158617,0.5046875
2009年のアルバム	24.156602999999997,0.5318957525830521
グラビアアイドル	24.250203,0.5373196421299358
2014年のアルバム	12.319983,0.5131388007588916
2013年の音楽関連の映像作品	35.810958,0.5651399918992962
日本のストリート出身ミュージシャン	12.150163,0.5163281602240907
クリスマスソング	12.269334,0.5176839314792315
桜を題材とした楽曲	11.917405,0.517635846267678
前山田健一が制作した楽曲	24.404405,0.5450769209819707
ミニ・アルバム	48.877826999999996,0.5980167264316028
コラボレーション・シングル	24.194513999999998,0.5513208118089619
日本のバンド	12.043078,0.5261214158620503
NHK紅白歌合戦歌唱楽曲	36.2895145,0.5779218120823241
春畑道哉が制作した楽曲	12.126833,0.5289340001128128
オリコンミリオンセラー達成アルバム	12.181916,0.530185395883855
春を題材とした楽曲	12.165033,0.5304995926683752
夏を題材とした楽曲	12.126833,0.5304995926683752
ビデオ・クリップ集	35.880424000000005,0.5808280551817456
長大な音楽作品名	23.929355,0.5625
末次由紀	12.195061,0.5385158546443268
2013年のシングル	60.5759825,0.6444887844102887
日本生命のコマーシャルソング	36.1863235,0.6034169026731573
NHK紅白歌合戦出演者	12.150163,0.5538691243569518
テレビ番組関連のコンピレーション・アルバム	11.841866,0.5545765875660406
ベスト・アルバム	36.488319,0.6108639560173278
前田亘輝が制作した楽曲	12.126833,0.5584790650623418
蔦谷好位置が制作した楽曲	12.090283,0.5584790650623418
2010年のシングル	48.441807000000004,0.6402714538521502
覆面レスラー	12.238531,0.5616103042302526
トリプルA面シングル	12.028169,0.5634285611124144
2013年のゴールドディスク	12.347293,0.5645915127984308
2014年のゴールドディスク	12.319983,0.5645915127984308
2012年のゴールドディスク	11.923367,0.5645915127984308
2008年の音楽関連の映像作品	24.631771999999998,0.5965638908492134
女装作品	11.879663,0.5742264925116387
2000年のアルバム	24.388088,0.6024870045428373
自治体のマスコット	12.158617,0.5768916276369949
2011年の音楽関連の映像作品	11.964786,0.5813539593165825
近畿地方のマスコット	12.158617,0.5828045343812122
1999年のアルバム	24.51533,0.6105473236247356
1998年のアルバム	24.487408000000002,0.6105473236247356
ライブ・アルバム	24.583883,0.6108639560173278
コンセプト・アルバム	24.296447,0.6108639560173278
2003年のアルバム	23.974319,0.6105473236247356
2013年のアルバム	12.347293,0.5851974377370176
2012年のアルバム	11.923367,0.5851974377370176
日本の歌手グループ	12.12207,0.5858422187260894
ミカン属	26.964529,0.6197228342172655
愛媛県出身の人物	12.1196,0.5884287051641747
映画主題歌	12.19759,0.588960312797439
山形県出身の人物	12.130603,0.5898785105742423
2004年のテレビアニメ	11.966665,0.589640413789576
1999年のシングル	48.812021,0.6709368422824247
2007年のシングル	48.5329915,0.680396312565447
兵庫県出身の人物	11.841866,0.5983236208620171
2003年のシングル	47.990303,0.680396312565447
2009年のシングル	36.377665,0.6575047338542902
2003年の音楽関連の映像作品	12.320015,0.6048409456112013
2006年の音楽関連の映像作品	11.986378,0.6048409456112013
日本のフォークグループ	12.150163,0.6074484955757192
横浜市出身の人物	12.150163,0.6079737428519817
ライブ・ビデオ	12.320015,0.6091901402838286
2012年のシングル	36.128222,0.6709368422824247
2011年のシングル	36.056787,0.6709368422824247
トイズファクトリーのアーティスト	24.193241,0.6414077944447266
カップ麺のコマーシャルソング	12.154158,0.6142983218684112
2008年のシングル	36.22655,0.680396312565447
2007年のアルバム	12.326421,0.6190467849323819
2008年のアルバム	12.293027,0.6190467849323819
2014年のシングル	23.969946,0.6492899307137706
1997年のアルバム	12.256932,0.6190467849323819
2001年のアルバム	12.250469,0.6190467849323819
2005年のアルバム	12.238531,0.6190467849323819
Yumingの楽曲	11.996924,0.6189968651757747
2004年のアルバム	11.987217,0.6190467849323819
2006年のアルバム	11.959968,0.6190467849323819
2002年のアルバム	11.930266,0.6190467849323819
まんがくらぶ	12.184808,0.6197468149532062
Yumingが制作した楽曲	11.996924,0.6206918454997055
オリコンシングルチャート1位獲得作品	23.961894,0.6527811210802263
アニメ映画主題歌	24.404405,0.6539371232543928
オリコン月間アルバムチャート1位獲得作品	24.24335,0.6536674022302036
果物をモチーフにしたマスコット	12.158617,0.6250168384011939
渋谷区の企業	12.114659,0.6280822151759687
フジテレビの主題歌	36.11405,0.6938518929750079
小田和正が制作した楽曲	12.269334,0.6475427525138187
映画のサウンドトラック	12.087489,0.6480670893252782
ヤングエース	11.986378,0.6485559077809004
キマグレンの楽曲	12.19759,0.654205736523259
クリスマスの約束関連楽曲	12.269334,0.6545281418397865
日テレジェニック	12.1196,0.6591448732039547
トヨタ自動車のコマーシャルソング	24.144441,0.6916539758717005
鳥を題材とした楽曲	11.96497,0.6596057997966498
1998年のシングル	24.258696,0.6938518929750079
2004年のシングル	23.963687999999998,0.6938518929750079
2002年のシングル	23.80303,0.6938518929750079
覆面レスラーとして活動していたプロレスラー	12.1196,0.6631427457079474
別冊フレンド	12.195061,0.6651236156012246
サラリーマン金太郎	12.082109,0.672623365684889
HUNTER×HUNTER	24.404405,0.7094150589045619
番場秀一の監督したミュージック・ビデオ	12.082109,0.6785700223401401
NHK全国学校音楽コンクール課題曲	12.075537,0.6792486411557852
横浜市を題材とした楽曲	23.907832,0.7128477952546531
東海・北陸地方のテレビのミニ番組	12.115425,0.6867295739026061
トムス・エンタテインメント	11.966665,0.6904283438223381
2000年のシングル	11.96497,0.6930171781823942
2006年のシングル	12.269334,0.6957309061019503
ポニーキャニオンのアルバム	11.841866,0.6948896589847188
1995年のシングル	12.126833,0.6957309061019503
2005年のシングル	12.082109,0.6957309061019503
日本の女子プロレスラー	12.1196,0.6972438609314404
京都府の食文化	26.964529,0.7375767859662565
高知県の食文化	26.964529,0.7623784286854851
オールナイトニッポン	11.957121,0.7356222843123071
りぼんの漫画作品	11.966665,0.7391139332591495
トイズファクトリーのシングル	11.996924,0.7407516259296768
TUBEの楽曲	12.126833,0.7411484147269375
ドラえもんのアニメソング	11.879663,0.7448598760855693
三ツ矢サイダーのコマーシャルソング	12.175422,0.7485280502730981
プラチナムプロダクション	12.1196,0.751539596085504
UHFアニメ	11.966665,0.7527621292456131
トイズファクトリー	12.114659,0.754007967725212
名古屋テレビの深夜番組	12.115425,0.7557860837472882
日本テレビのテレビアニメ主題歌	24.404405,0.7952456556141404
NHKのテレビドラマ主題歌	12.075537,0.799475253311868
スターダムに所属したプロレスラー	24.358131,0.8359381630483793
宝塚歌劇団	12.105552,0.810842737392555
松竹芸能	11.919906,0.8109325638518964
あいのり主題歌	23.923975,0.8499093545135465
アニマックスのアニメ	11.966665,0.8443954925951079
オールナイトニッポンGOLD	11.957121,0.8448833816591114
連続テレビ小説主題歌	12.0418825,0.8572460049462196
ネコを主人公にした物語	12.184808,0.8634328668027765
ドラえもん映画主題歌担当アーティスト	12.150163,0.8699956846287088
テレビ朝日金曜ナイトドラマの主題歌	12.082109,0.875768120570416
山梨県の神社	12.012744,0.8851795143304074
横須賀市の企業	12.154158,0.8941018914080872
名古屋テレビのバラエティ番組	12.115425,0.8999065546614736
北杜市の歴史	12.012744,0.900510469676232
名古屋テレビの冠番組	12.115425,0.9023949905751052
磯子区	12.150163,0.9131804514501274
箕面市	12.158617,0.9505452674897119
あらすじの不十分な作品記事	11.966665,1.0
## IMINE2-J-003	フェイト
存命人物	182.60361500000002,
UFCの大会	113.389232,0.031494341563786006
批判	11.755409,0.009868827160493825
WECの大会	45.850055,0.437857309491508
オーラルコミュニケーション	11.536222,0.16316928321662014
2009年のアメリカ合衆国のスポーツ	45.690989,0.4754516915250271
2009年の総合格闘技	45.690989,0.47613951403177857
2012年の総合格闘技	45.643841,0.47613951403177857
Strikeforce王者	11.698256,0.18196507465471268
2010年の総合格闘技	45.546948,0.47613951403177857
コンピュータゲーム	45.91701499999999,0.4833869047619048
化学の一覧	11.583363,0.1875
ロックの殿堂入りの人物	23.143500000000003,0.3262954141071601
社会言語学	11.536222,0.22916666666666666
毒	11.583363,0.23275230942012937
キャンプ用品メーカー	11.252743,0.23422016364157042
1981年生	23.091282,0.34707939609906857
市民活動家	11.305344,0.24890583862153182
1985年生	22.566703,0.34707939609906857
1979年生	22.538041,0.34707939609906857
ロードムービー	22.779282000000002,0.35614909465553335
格闘技関連一覧	11.223892,0.26940633097088856
2010年のアメリカ合衆国のスポーツ	34.24019,0.4754516915250271
東京都出身の人物	22.611197,0.379116769845012
2008年の総合格闘技	33.76193,0.47613951403177857
ポルトガルの都市	11.253786,0.28490310940119645
1990年の映画	22.774402000000002,0.3891031556488823
1968年設立の企業	11.252743,0.29309369974297694
格闘技	34.132134,0.49479166666666663
企業	34.007236,0.4950520833333333
アルバム	34.068279,0.4957638888888889
1941年設立	11.524246,0.31180740648705807
1937年設立	11.374676,0.31180740648705807
レーシングカー・デザイナー	11.449381,0.32972585743887534
アメリカ合衆国の俳優	22.511383000000002,0.42617660256868234
一社提供番組	11.712873,0.332799114971496
コペンハーゲン出身の人物	11.7615185,0.3357290675368655
アウトドア用ファッションブランド	11.252743,0.3336384134950092
1992年設立の企業	11.380365,0.3353820605200831
1997年設立の企業	11.374128,0.3353820605200831
スポーツリーグ	11.294725,0.3360268042020716
1977年没	11.473619,0.3405674434627006
1999年没	11.449381,0.3405674434627006
1971年没	11.21807,0.3405674434627006
1980年生	11.773591,0.34707939609906857
1956年生	11.7615185,0.34707939609906857
1948年生	11.5201435,0.34707939609906857
1984年生	11.513935,0.34707939609906857
1909年生	11.473619,0.34707939609906857
1944年生	11.449381,0.34707939609906857
1989年生	11.420099,0.34707939609906857
1982年生	11.320818,0.34707939609906857
1973年生	11.279983,0.34707939609906857
1970年生	11.2314,0.34707939609906857
1913年生	11.21807,0.34707939609906857
自動車展示会	11.252743,0.3494104776032141
2007年のアルバム	34.460059,0.5514197585804003
エミー賞受賞者	11.2314,0.34967370269950593
ゲームクリエイター	11.280757,0.3549157965926603
皮膚科学	11.235151,0.3588436153726672
インターネットの人物	11.280757,0.36318320224889034
インターネットのプライバシー	11.755409,0.3728174130353709
レースクイーン	11.305853,0.37130965682516454
日本の法の一覧	11.583363,0.37644029295202275
ダーツ大会	11.294725,0.3746575544936064
グラミー賞受賞者	11.279983,0.375
全英アルバムチャート1位獲得作品	22.836523999999997,0.4778517044609488
イギリス海軍の同名艦	11.368794,0.376998990195775
日本の情報・通信業	11.380365,0.3870014771947323
アメリカ合衆国の音楽プロデューサー	11.279983,0.3876821899569107
スペインの大学	11.302492,0.38862083957040705
コンピュータ	22.709538000000002,0.48958333333333337
2008年のアメリカ合衆国のスポーツ	22.532938,0.49168621113548944
日本の女性モデル	11.305853,0.3934375401877572
アフリカ系アメリカ人のミュージシャン	22.753602,0.4973486538545671
映画	22.569336999999997,0.4959958847736626
サッカー選手	22.813125,0.4993614969135803
音楽	23.048902,0.5027294560185185
バイーア州	22.898922,0.5014639599567203
宗教映画	11.262813,0.4003568371138439
ゴールデングローブ賞受賞者	11.2314,0.40040789131157023
1965年の映画	11.472758,0.40268260735488487
1988年の映画	11.333041,0.40268260735488487
1994年の映画	11.306524,0.40268260735488487
2006年の映画	11.288376,0.40268260735488487
2010年の音楽	11.532372,0.4078422455156613
日本の化学物質関連法規	11.583363,0.4091375030738948
一般用医薬品	11.221697,0.40671078349654516
フランスの写真家	11.252743,0.4093184725705162
サッカー	22.568438,0.5097957658179012
フラワーカンパニーズのアルバム	22.559057,0.5120809041463114
ギリシャ系アメリカ人	11.2314,0.4135847750914494
過去のフェイスネットワーク所属者	11.305853,0.42085403694951706
オランダ	11.566965,0.42471467204185365
ドイツ系アメリカ人	11.2314,0.4238811600852682
プリンター	11.393437,0.42683823338136473
日本の小説家	23.094409,0.5357980543691194
2012年のカナダ	11.524214,0.4347773122613211
2012年のブラジル	11.376429,0.4337499268351284
2008年のカナダ	11.228992,0.4347773122613211
日本の患者支援団体	11.235151,0.43578427310176143
アダルト・コンテンポラリー	11.5201435,0.44108084888153
文人	23.094409,0.5442965534979424
2007年のコンピュータゲーム	11.601909,0.44376950267346166
ドナルド・フェイゲンのアルバム	22.845857,0.5434763171270057
2008年のコンピュータゲーム	11.507862,0.44376950267346166
アメリカ合衆国の総合格闘技	11.223892,0.4419295964356585
東欧ユダヤ系アメリカ人	11.5201435,0.44974685570259976
アメリカ合衆国の歌手	11.5201435,0.451011200068834
サッカーのライバル対決	11.374996,0.45067998227389133
アメリカ合衆国の音楽賞	11.204885,0.4555062284616827
アメリカ合衆国のコメディアン	11.2314,0.45821425295740953
アメリカ合衆国の公園	11.370409,0.4598922141531656
2006年のアルバム	23.152315,0.5651779629510925
アメリカ合衆国の男性声優	11.21807,0.4624602651945444
アーケードゲーム基板	11.292205,0.47109228826426863
イタリアを舞台とした映画作品	11.306524,0.47453039843052086
カリブ海を舞台とした映画作品	11.262813,0.4759135634772075
ジャカルタ	11.252743,0.4768455037908892
2009年のモータースポーツ	11.205521,0.47648569786843054
デンマークの歌手	11.7615185,0.4814277792182526
Strikeforceの大会	11.265297,0.48079391859012216
アメリカ合衆国の登山用品メーカー・ブランド	11.252743,0.4826850288640237
2011年の総合格闘技	11.266962,0.4854037531340248
動物	11.812609,0.4915364583333333
オランダのサッカー	11.374996,0.4899975616905228
2010年のアルバム	11.222422,0.4891716061528624
特定非営利活動法人	11.235151,0.48938230181889897
2012年のアメリカ合衆国のスポーツ	11.419978,0.49168621113548944
2006年のアメリカ合衆国のスポーツ	11.276817,0.49168621113548944
2011年のアメリカ合衆国のスポーツ	11.266962,0.49168621113548944
テレビ番組	11.712873,0.4967175925925926
2010年の日本のスポーツ	11.306758,0.4945777789091265
シングル	11.402207,0.4958043981481481
トニー・ヴィスコンティがプロデュースしたアルバム	11.200109,0.49449952554383464
ロッテルダムのスポーツ	22.725617999999997,0.5962333074444793
薬学	11.221697,0.4956597222222222
メジャーリーグ	11.270904,0.49655856369123214
自動車	11.252743,0.5027777777777778
ブラジルの総合格闘家	23.212191,0.6432848296872617
2008年の日本のスポーツ	11.294979,0.5286681938441637
オランダのサッカー選手	22.705396999999998,0.6498369956483635
2009年のアルバム	11.516427,0.5378132988756941
ヘヴィメタル・ミュージシャン	11.7615185,0.544550859186134
フェイエノールトの選手	34.098423,0.7807419706845691
声優	11.21807,0.5586040122417246
歌手	11.532372,0.5630423552169067
アイドル	11.305853,0.5733872653034977
ゲーム関係者	11.280757,0.5843829299316033
アフリカ系アメリカ人の俳優	11.279983,0.635950440457819
アメリカ合衆国の脚本家	11.2314,0.6415431534946082
ブルース・ミュージシャン	11.473619,0.6463028385229548
ブラジルのサッカークラブ	22.898922,0.8070632322606276
K-1の大会	11.294979,0.6538679309735081
ハムスター	11.812609,0.6627266299261259
バフィーのコミック	22.761116,0.8131396696668421
UFCのカナダ大会	22.753206,0.8188202705261202
NFLの試合	11.276817,0.6631022237002385
榊原ゆいの楽曲	11.402207,0.6704037249020012
アークティック・モンキーズのアルバム	11.627531,0.6756352484734603
ブルッヘ出身の人物	11.393026,0.6761981714913959
スピンオフ作品	11.30229,0.6781438209473389
サンディエゴ出身の人物	11.26085,0.6801914008916323
ドーピング違反の総合格闘家	11.698256,0.6875705429098079
ブルースロック・バンド	11.503609,0.685703906130925
全米映画俳優組合賞	11.662316,0.6881732466400483
アメリカ合衆国のドラマ映画	11.333041,0.6841020713663123
日本のライトノベル作家	23.094409,0.8601649054009963
魔法少女リリカルなのはシリーズの登場人物	11.547981,0.6937083687054534
アメリカ合衆国のロマンティック・コメディ映画	22.779282000000002,0.8624284077431984
2012年のアルバム	11.209969,0.6943032507628727
1975年のアルバム	11.200109,0.6943032507628727
芸能人女子フットサル選手	11.305853,0.6994788552115483
ドラマCD	11.516427,0.70525048828125
アダルトビデオ	11.374128,0.7040496706550687
デヴィッド・ボウイのアルバム	11.200109,0.702048822543367
アメリカ合衆国のR&Bミュージシャン	11.2586975,0.7046937343118904
フェイエノールト	22.725617999999997,0.8757776811038951
大阪府出身の人物	11.280757,0.7104048976075482
F1関係者	11.449381,0.7148406146107206
MTVネットワークス	11.204885,0.7115070753895533
イングランドのロック・バンド	23.143500000000003,0.8867815562083833
RCAレコードのアルバム	11.200109,0.7124794053124841
ラプソディー・オブ・ファイアのアルバム	11.222422,0.7193021503129285
NBCユニバーサル・ジャパンの楽曲	11.402207,0.7228627869902007
2004年のアルバム	11.516427,0.7255460095243992
2008年のアルバム	11.516427,0.7255460095243992
2005年のアルバム	11.516427,0.7255460095243992
スコットランド系アメリカ人	11.2314,0.7229027342729356
ワーナー・ブラザーズの作品	11.472758,0.7275386736164694
1995年のアルバム	11.316101,0.7255460095243992
ベスト・アルバム	11.242956,0.7246897665895062
1997年のアルバム	11.242956,0.7255460095243992
1992年のアルバム	11.208993,0.7255460095243992
ボン・ジョヴィのアルバム	11.208993,0.7257199736725538
キングレコードの楽曲	11.516427,0.7309770747202534
