## IMINE2-J-001	cvs
オープンソース	241.53808900000004,
1970年生	13.768241,0.4434341242283949
世界ゴルフ殿堂	13.031284,0.4207813791749338
1968年生	13.604694,0.4434341242283949
EDAソフト	14.026624,0.4574519488383058
認定資格	12.038476,0.3979953342013889
博物館船	13.956313,0.46097968757654806
イギリスの言語学者	12.157069,0.4053382402584876
餓狼伝説の登場人物	26.925586000000003,0.8839725196116255
日本の食品産業	14.026624,0.46808486432285096
1976年設立の企業	12.8211,0.43551070601851843
1957年生	13.031284,0.4434341242283949
菓子の商品名	13.348318,0.45584705075445814
レストランチェーン	12.8211,0.4455690586419752
1944年竣工船	12.383953,0.43369552508503395
2008年没	12.157069,0.43450141920193996
日本の小売業者	15.652477,0.5482973652906378
日本の卸売企業	12.8211,0.45884323559670775
プロジェクトマネジメントソフト	12.8211,0.4594898057055897
ゲーム機	12.8211,0.4624700728159102
1920年生	12.157069,0.4434341242283949
黄綬褒章受章者	15.500951,0.5556972843792867
トランザクション処理	14.882075,0.5461420808015046
ロッテグループ	14.374394,0.5328139467592593
Googleのサービス	12.8211,0.490700954861111
かつて存在したウェブサイト	12.8211,0.4949553815425668
流通	15.784735,0.5934309895833333
登録商標	12.038476,0.4823385553687781
コンピュータゲームを題材にした作品	12.8211,0.512368348811361
データ圧縮規格	13.348318,0.5341735754683977
天文学に関する記事	12.085634,0.5
サーバ	14.374394,0.5763588820301784
コンピュータゲームのボスキャラクター	14.272237,0.5731125192901234
航空母艦	14.269015,0.5737403817301097
IRCクライアント	12.8211,0.5431105324074074
1978年のコンピュータゲーム	12.8211,0.550998599858539
架空のプロレスラー	14.218298,0.5971408420138888
自動車	16.38699,0.6681481481481482
Mozilla	14.940267,0.62459504978689
Javaプラットフォーム	14.374394,0.6077473958333334
お笑い芸人	13.768241,0.594686859292328
アメリカ合衆国海軍	13.031284,0.5726725930212619
日本の外食事業者	12.8211,0.5796532657719723
日本の商社	14.026624,0.6206843171296296
アメリカ合衆国の航空母艦	14.29567,0.6414837922775205
メディアプレーヤーソフト	12.8211,0.6034962303936903
IBMのソフトウェア	12.617265,0.5977314011059669
トルコ語	12.157069,0.5848690833574459
日本の貨物運送サービス	12.038476,0.5838016010802468
Webオーサリングソフト	13.348318,0.62900652687451
ダーバン出身の人物	13.031284,0.6249131944444444
C言語	13.520873,0.6446679084683642
鉄道駅	14.843781,0.6944444444444444
アメリカ合衆国のソフトウェア会社	13.348318,0.6522075135030864
コンピュータゲームのシリーズ	12.8211,0.6624683666087963
ロンドン出身の人物	12.157069,0.6494018073664651
ロードアイランド州の企業	17.337402,0.8228190104166666
ウィキクローン	12.8211,0.6826004553272891
言語学	12.157069,0.6666666666666666
学者	12.157069,0.6666666666666667
東京都港区の企業	14.026624,0.73219051408179
日本のラグビー選手	14.374394,0.7572799080265965
千代田区の企業	13.348318,0.73219051408179
JavaScript	14.940267,0.7964735243055554
カリフォルニア州の企業	13.348318,0.7481618119855966
双日	14.026624,0.770812710124559
アメリカ合衆国のゴルファー	13.604694,0.7584836578717993
ジンバブエのゴルファー	13.031284,0.7442992326817557
エミュレーションソフトウェア	12.383953,0.7244466145833334
IPv6	12.085634,0.7166594328703703
Ruby	12.8211,0.745871652359825
C++	12.383953,0.7328892686631944
イリノイ州の企業	15.342936,0.8326352719907406
サンリブ・マルショクグループ	13.031284,0.7637538580246913
東証一部上場企業	15.652477,0.8507648533950617
カサブランカ級航空母艦	12.383953,0.7524222366898148
ヤマトグループ	12.038476,0.742666618441358
Python	12.085634,0.745871652359825
インスタントラーメン	12.085634,0.7471683706275719
バージニア州の鉄道駅	14.843781,0.8391404463877455
セブン-イレブン	15.652477,0.8712094907407406
ソフトウェア開発キット	12.085634,0.7626302083333332
エポック社	12.8211,0.7941070012431413
架空のキックボクサー	12.707288,0.7917852205504115
かつて存在した日本のコンビニ	14.583309,0.8536206872795413
オックスフォード大学の教員	12.157069,0.7769192708333332
ペンシルベニア州の企業	14.749153,0.8627495659722222
カプコンのクロスオーバー作品	12.8211,0.8020648469650206
SNKのクロスオーバー作品	12.8211,0.8020648469650206
慶應義塾體育會蹴球部の選手	14.374394,0.8736064895190326
フリーパッケージ管理システム	13.348318,0.8411458333333333
2D対戦型格闘ゲーム	12.8211,0.8422222911155203
美浜区の企業	15.652477,0.9361496913580246
旭硝子の人物	14.374394,0.9153600287208504
DOS	12.383953,0.8547453703703703
浦安市の企業	15.652477,0.9714151984739369
大崎市の企業	15.342936,0.9889005347650892
UNIXのソフトウェア	14.547215,0.9737041859567901
九州・沖縄地方のスーパーマーケット	13.031284,0.9341705141420716
人物	12.157069,0.9166666666666666
倉敷市の企業	12.8211,0.942914166452332
大分市の企業	13.031284,0.9582429558899176
大野城市の企業	13.604694,0.9889005347650893
岡山市東区の企業	12.8211,0.971415198473937
別府市	13.031284,0.9834031635802469
Windowsのソフトウェア	12.085634,0.9737041859567902
## IMINE2-J-002	ゆず
ゆずの楽曲	519.5341959999998,
シングル	386.88454299999995,0.2010850975909914
北川悠仁が制作した楽曲	386.41475849999995,0.5306539455460912
ゆずのアルバム	243.51335599999996,0.5747049456647102
岩沢厚治が制作した楽曲	205.914561,0.5306539455460912
ゆずの映像作品	120.90892200000002,0.5589861325050451
オリコンアルバムチャート1位獲得作品	121.07690500000001,0.6018053392921969
アルバム	96.986976,0.48779130668535486
存命人物	36.170109,0.1284722222222222
ヘ長調の曲	72.5007315,0.4719756531084656
ハ長調の曲	60.381635,0.4719756531084656
ト長調の曲	60.360186,0.4719756531084656
イ長調の曲	48.266760000000005,0.4719756531084656
2013年のシングル	60.5759825,0.6444887844102887
精油	26.964529,0.376998693069889
ホ長調の曲	36.527842,0.47519687912792763
同名の地名	11.986378,0.2501157407407407
ミニ・アルバム	48.877826999999996,0.6108639560173278
1983年生	24.250203,0.3848073900935954
2010年のシングル	48.441807000000004,0.6402714538521502
日本の調味料	26.964529,0.44340349859849276
スポーツ音楽	11.935519,0.3038152589074729
1999年のシングル	48.812021,0.6709368422824247
音楽	48.200439,0.6675
名数5	12.105552,0.32226609054236083
2007年のシングル	48.5329915,0.680396312565447
子供への虐待を扱った作品	11.966665,0.3243154093069596
2003年のシングル	47.990303,0.680396312565447
1947年設立の企業	12.154158,0.33062768573789086
日本語の姓	11.986378,0.3376642204230014
育児を題材とした作品	11.966665,0.35010626462856403
2013年の音楽関連の映像作品	35.810958,0.5893966648781184
NHK紅白歌合戦歌唱楽曲	36.2895145,0.5960712778838475
ニ長調の曲	24.302463,0.481924190608647
変ト長調の曲	24.129371499999998,0.481924190608647
音楽プロダクション	12.114659,0.3662731112900761
ビデオ・クリップ集	35.880424000000005,0.6015380425799265
日本生命のコマーシャルソング	36.1863235,0.611979944922596
ベスト・アルバム	36.488319,0.6194861448092898
2006年没	11.841866,0.3821977738855426
秋の季語	26.964529,0.5370653773813973
1931年生	11.841866,0.38984730013354896
2010年の音楽関連の映像作品	24.195013000000003,0.5129901468917469
レースクイーン	12.130603,0.40284684893247863
日本の俳優	12.130603,0.41120636502629165
2009年のシングル	36.377665,0.6575047338542902
日本の食品メーカー	12.154158,0.4347256828801868
2012年のシングル	36.128222,0.6709368422824247
2011年のシングル	36.056787,0.6709368422824247
2009年のアルバム	24.156602999999997,0.5543293664290373
コマーシャルソング	12.269334,0.43957365487150696
漫画	36.137851,0.6737731481481481
グラビアアイドル	24.250203,0.5580223863338074
2008年のシングル	36.22655,0.680396312565447
前山田健一が制作した楽曲	24.404405,0.5663429872512528
太陽を題材とした楽曲	12.082109,0.4498327733094945
コラボレーション・シングル	24.194513999999998,0.5713243086250402
日本のタレント	12.1196,0.4533828453999362
いじめを題材とした漫画作品	11.966665,0.454086630074557
フジテレビの主題歌	36.11405,0.6938518929750079
いじめを題材としたアニメ作品	11.966665,0.48432910270361373
小田和正の楽曲	12.269334,0.4874209890292632
2008年の音楽関連の映像作品	24.631771999999998,0.6150203841780899
応援歌	11.935519,0.4910326957210755
ミカン属	26.964529,0.6426236097268662
菓子のコマーシャルソング	12.195061,0.498378607610311
2000年のアルバム	24.388088,0.6213236443806203
ロ長調の曲	12.175422,0.5000758216163694
変ニ長調の曲	12.154158,0.5000758216163694
変ホ長調の曲	12.104538,0.5000758216163694
人物の愛称	12.320051,0.5030092592592592
変イ長調の曲	11.964786,0.5000758216163694
1999年のアルバム	24.51533,0.629712616489589
1998年のアルバム	24.487408000000002,0.629712616489589
果物	26.964529,0.6544415509259259
日本の写真家	11.841866,0.5050036645950622
ライブ・アルバム	24.583883,0.6334660336916296
アイドル番組	12.115425,0.5102933979522701
恋愛漫画	12.195061,0.5115705035379259
2003年のアルバム	23.974319,0.629712616489589
コンセプト・アルバム	24.296447,0.6334660336916296
日本のお笑いコンビ	12.141892,0.5268597119910571
お笑い芸人	11.919906,0.5268597119910571
トイズファクトリーのアーティスト	24.193241,0.6556231769394514
クリスマスソング	12.269334,0.5393992077419567
2014年のアルバム	12.319983,0.543683391553238
2014年のシングル	23.969946,0.6620119533616611
桜を題材とした楽曲	11.917405,0.5431149845154752
アニメ映画主題歌	24.404405,0.667969593984556
日本のストリート出身ミュージシャン	12.150163,0.547860881073412
オリコン月間アルバムチャート1位獲得作品	24.24335,0.6710018246198619
オリコンシングルチャート1位獲得作品	23.961894,0.670033873418516
お笑い芸人	11.919906,0.552458664021164
春を題材とした楽曲	12.165033,0.558027571648073
夏を題材とした楽曲	12.126833,0.558027571648073
オリコンミリオンセラー達成アルバム	12.181916,0.5588198836802578
日本のバンド	12.043078,0.5577318435599432
春畑道哉が制作した楽曲	12.126833,0.5606808651218493
末次由紀	12.195061,0.5707068330797038
トヨタ自動車のコマーシャルソング	24.144441,0.6916539758717005
1998年のシングル	24.258696,0.6938518929750079
NHK紅白歌合戦出演者	12.150163,0.5745732648003785
2004年のシングル	23.963687999999998,0.6938518929750079
2002年のシングル	23.80303,0.6938518929750079
前田亘輝が制作した楽曲	12.126833,0.5780731283891676
蔦谷好位置が制作した楽曲	12.090283,0.5780731283891676
2013年のゴールドディスク	12.347293,0.5832834739578796
テレビ番組関連のコンピレーション・アルバム	11.841866,0.5782802432924766
2014年のゴールドディスク	12.319983,0.5832834739578796
覆面レスラー	12.238531,0.5829370829604802
りぼんの漫画を原作とするアニメ作品	11.966665,0.5822402263374485
トリプルA面シングル	12.028169,0.5837934208369652
2012年のゴールドディスク	11.923367,0.5832834739578796
京都府の食文化	26.964529,0.7348769947863081
HUNTER×HUNTER	24.404405,0.734624065590242
高知県の食文化	26.964529,0.7623784286854851
横浜市を題材とした楽曲	23.907832,0.7375767859662565
女装作品	11.879663,0.616942079134457
自治体のマスコット	12.158617,0.620489978398655
2011年の音楽関連の映像作品	11.964786,0.6205072286611938
2013年のアルバム	12.347293,0.6247309297060558
2012年のアルバム	11.923367,0.6247309297060558
近畿地方のマスコット	12.158617,0.6278216831054891
長大な音楽作品名	23.929355,0.75
日本の歌手グループ	12.12207,0.629411587914043
映画主題歌	12.19759,0.6323051436124387
2004年のテレビアニメ	11.966665,0.6301416855995656
愛媛県出身の人物	12.1196,0.6328533975717717
山形県出身の人物	12.130603,0.6347645674666113
2003年の音楽関連の映像作品	12.320015,0.6371235903027834
兵庫県出身の人物	11.841866,0.6347645674666113
2006年の音楽関連の映像作品	11.986378,0.6371235903027834
日本のフォークグループ	12.150163,0.6431183863231238
ライブ・ビデオ	12.320015,0.6449421008284036
横浜市出身の人物	12.150163,0.6454110731262384
カップ麺のコマーシャルソング	12.154158,0.650558062936707
2007年のアルバム	12.326421,0.6524248657753716
2008年のアルバム	12.293027,0.6524248657753716
1997年のアルバム	12.256932,0.6524248657753716
2001年のアルバム	12.250469,0.6524248657753716
2005年のアルバム	12.238531,0.6524248657753716
2004年のアルバム	11.987217,0.6524248657753716
2006年のアルバム	11.959968,0.6524248657753716
2002年のアルバム	11.930266,0.6524248657753716
まんがくらぶ	12.184808,0.6565058895158178
神道	12.012744,0.655172335600907
Yumingの楽曲	11.996924,0.6555035084330658
Yumingが制作した楽曲	11.996924,0.6574893669892404
果物をモチーフにしたマスコット	12.158617,0.6616632932871901
テレビ番組	12.115425,0.6620817901234568
アニメ	11.966665,0.6611284722222222
ラジオ番組	11.957121,0.6620817901234568
渋谷区の企業	12.114659,0.6676056126724054
継続中の作品	12.115425,0.6680555555555555
日本テレビのテレビアニメ主題歌	24.404405,0.7952456556141404
キャラクター	12.158617,0.6729166666666666
小田和正が制作した楽曲	12.269334,0.7001691715596502
映画のサウンドトラック	12.087489,0.6994207017291783
ヤングエース	11.986378,0.7006277657821389
スターダムに所属したプロレスラー	24.358131,0.8359381630483793
クリスマスの約束関連楽曲	12.269334,0.7126474695332147
キマグレンの楽曲	12.19759,0.7144607369519284
鳥を題材とした楽曲	11.96497,0.714122831870499
あいのり主題歌	23.923975,0.8499093545135465
日テレジェニック	12.1196,0.7254767585765636
覆面レスラーとして活動していたプロレスラー	12.1196,0.7277077455873842
別冊フレンド	12.195061,0.729137888900973
サラリーマン金太郎	12.082109,0.7364383042620055
NHK全国学校音楽コンクール課題曲	12.075537,0.7422759102866557
番場秀一の監督したミュージック・ビデオ	12.082109,0.7444135528969119
東海・北陸地方のテレビのミニ番組	12.115425,0.7468742870859321
トムス・エンタテインメント	11.966665,0.7534783907875929
2006年のシングル	12.269334,0.7620427497753041
2000年のシングル	11.96497,0.7590680122956261
1995年のシングル	12.126833,0.7620427497753041
2005年のシングル	12.082109,0.7620427497753041
ポニーキャニオンのアルバム	11.841866,0.7596254795961257
日本の女子プロレスラー	12.1196,0.7659542439892347
オールナイトニッポン	11.957121,0.7816301695828466
りぼんの漫画作品	11.966665,0.7834845166292844
TUBEの楽曲	12.126833,0.7855037210269993
トイズファクトリーのシングル	11.996924,0.784454994422212
ドラえもんのアニメソング	11.879663,0.7890314178836093
三ツ矢サイダーのコマーシャルソング	12.175422,0.7948257374541821
プラチナムプロダクション	12.1196,0.7977389563585826
UHFアニメ	11.966665,0.7984749990176326
トイズファクトリー	12.114659,0.8008317883024487
名古屋テレビの深夜番組	12.115425,0.8030236381470789
NHKのテレビドラマ主題歌	12.075537,0.8114371400590966
松竹芸能	11.919906,0.8148456095799328
宝塚歌劇団	12.105552,0.8179451049361257
アニマックスのアニメ	11.966665,0.8443954925951079
オールナイトニッポンGOLD	11.957121,0.8448833816591114
連続テレビ小説主題歌	12.0418825,0.8572460049462196
ネコを主人公にした物語	12.184808,0.8634328668027765
ドラえもん映画主題歌担当アーティスト	12.150163,0.8699956846287088
テレビ朝日金曜ナイトドラマの主題歌	12.082109,0.875768120570416
山梨県の神社	12.012744,0.8851795143304074
横須賀市の企業	12.154158,0.8941018914080872
名古屋テレビのバラエティ番組	12.115425,0.8999065546614736
北杜市の歴史	12.012744,0.900510469676232
名古屋テレビの冠番組	12.115425,0.9023949905751052
磯子区	12.150163,0.9131804514501274
箕面市	12.158617,0.9505452674897119
あらすじの不十分な作品記事	11.966665,1.0
## IMINE2-J-003	フェイト
存命人物	182.60361500000002,
UFCの大会	113.389232,0.031494341563786006
WECの大会	45.850055,0.437857309491508
2009年のアメリカ合衆国のスポーツ	45.690989,0.4754516915250271
コンピュータゲーム	45.91701499999999,0.4833869047619048
2009年の総合格闘技	45.690989,0.47613951403177857
2012年の総合格闘技	45.643841,0.47613951403177857
2010年の総合格闘技	45.546948,0.47613951403177857
2010年のアメリカ合衆国のスポーツ	34.24019,0.4754516915250271
2008年の総合格闘技	33.76193,0.47613951403177857
格闘技	34.132134,0.49479166666666663
アルバム	34.068279,0.4957638888888889
企業	34.007236,0.4950520833333333
2007年のアルバム	34.460059,0.5514197585804003
ロックの殿堂入りの人物	23.143500000000003,0.3262954141071601
フェイエノールトの選手	34.098423,0.7255460095243992
1981年生	23.091282,0.4500677654892546
ロードムービー	22.779282000000002,0.4397631957634818
1985年生	22.566703,0.4500677654892546
1979年生	22.538041,0.4500677654892546
音楽	23.048902,0.5027294560185185
コンピュータ	22.709538000000002,0.48958333333333337
サッカー選手	22.813125,0.4993614969135803
1990年の映画	22.774402000000002,0.49887681497409153
東京都出身の人物	22.611197,0.4936991351991566
映画	22.569336999999997,0.4959958847736626
サッカー	22.568438,0.5097957658179012
文人	23.094409,0.5442965534979424
アメリカ合衆国の俳優	22.511383000000002,0.5438316079389575
全英アルバムチャート1位獲得作品	22.836523999999997,0.6116858729699441
批判	11.755409,0.12293113425925926
2008年のアメリカ合衆国のスポーツ	22.532938,0.6266658190026768
アフリカ系アメリカ人のミュージシャン	22.753602,0.6465266428457456
バイーア州	22.898922,0.6567792031035664
フラワーカンパニーズのアルバム	22.559057,0.6571307106802982
日本の小説家	23.094409,0.6938004973888211
オーラルコミュニケーション	11.536222,0.17575914218636882
ドナルド・フェイゲンのアルバム	22.845857,0.7008424465770746
2006年のアルバム	23.152315,0.7255460095243992
Strikeforce王者	11.698256,0.22371339163237305
化学の一覧	11.583363,0.22193287037037032
社会言語学	11.536222,0.22916666666666666
ブラジルの総合格闘家	23.212191,0.7807419706845691
ロッテルダムのスポーツ	22.725617999999997,0.7783313373413921
オランダのサッカー選手	22.705396999999998,0.7778639220545385
ブラジルのサッカークラブ	22.898922,0.8070632322606276
バフィーのコミック	22.761116,0.8131396696668421
UFCのカナダ大会	22.753206,0.8188202705261202
日本のライトノベル作家	23.094409,0.8601649054009963
毒	11.583363,0.30316556573645403
キャンプ用品メーカー	11.252743,0.28797817775015233
アメリカ合衆国のロマンティック・コメディ映画	22.779282000000002,0.8624284077431984
格闘技関連一覧	11.223892,0.29987563228737996
イングランドのロック・バンド	23.143500000000003,0.8867815562083833
市民活動家	11.305344,0.31382996115948947
フェイエノールト	22.725617999999997,0.8757776811038951
サッカーオランダ代表選手	22.705396999999998,0.9071870135792942
ポルトガルの都市	11.253786,0.367214613340192
一社提供番組	11.712873,0.4056663399019266
1968年設立の企業	11.252743,0.3867521875535836
1941年設立	11.524246,0.4026108088098707
グラミー賞受賞者	11.279983,0.39523931093547005
1937年設立	11.374676,0.4026108088098707
スポーツリーグ	11.294725,0.4057188464506172
アウトドア用ファッションブランド	11.252743,0.40454170923592053
コペンハーゲン出身の人物	11.7615185,0.4351405714163237
レーシングカー・デザイナー	11.449381,0.423651693188375
エミー賞受賞者	11.2314,0.42040292245370364
1980年生	11.773591,0.4500677654892546
1956年生	11.7615185,0.4500677654892546
1977年没	11.473619,0.44098449415988955
1999年没	11.449381,0.44098449415988955
ゲームクリエイター	11.280757,0.4338201785328709
自動車展示会	11.252743,0.4353962646819272
1992年設立の企業	11.380365,0.44268750401877566
1997年設立の企業	11.374128,0.44268750401877566
1948年生	11.5201435,0.4500677654892546
1984年生	11.513935,0.4500677654892546
1909年生	11.473619,0.4500677654892546
1944年生	11.449381,0.4500677654892546
1989年生	11.420099,0.4500677654892546
1971年没	11.21807,0.44098449415988955
1982年生	11.320818,0.4500677654892546
1973年生	11.279983,0.4500677654892546
1970年生	11.2314,0.4500677654892546
1913年生	11.21807,0.4500677654892546
インターネットのプライバシー	11.755409,0.47748448756399414
ダーツ大会	11.294725,0.45690886881287146
インターネットの人物	11.280757,0.46306341180067345
皮膚科学	11.235151,0.4669194652825407
レースクイーン	11.305853,0.4743346778221927
日本の法の一覧	11.583363,0.48944711612937825
日本の女性モデル	11.305853,0.48492878729423866
イギリス海軍の同名艦	11.368794,0.4903608637331389
1965年の映画	11.472758,0.49887681497409153
宗教映画	11.262813,0.4951961264690893
1988年の映画	11.333041,0.49887681497409153
2010年の音楽	11.532372,0.5087461438937365
日本の情報・通信業	11.380365,0.502046387686233
ゴールデングローブ賞受賞者	11.2314,0.4949333284342542
アメリカ合衆国の音楽プロデューサー	11.279983,0.4973322399286503
1994年の映画	11.306524,0.49887681497409153
2006年の映画	11.288376,0.49887681497409153
スペインの大学	11.302492,0.5061191370348936
フランスの写真家	11.252743,0.5120957212094905
日本の化学物質関連法規	11.583363,0.530190303617017
オランダ	11.566965,0.5368441358024691
アダルト・コンテンポラリー	11.5201435,0.5400587888200977
一般用医薬品	11.221697,0.5281039148233881
ギリシャ系アメリカ人	11.2314,0.5346165998656834
2012年のカナダ	11.524214,0.5512179033779149
過去のフェイスネットワーク所属者	11.305853,0.543394659850823
プリンター	11.393437,0.5477965417393024
2007年のコンピュータゲーム	11.601909,0.5584423970925497
2012年のブラジル	11.376429,0.5498652370541837
2008年のコンピュータゲーム	11.507862,0.5584423970925497
アメリカ合衆国の歌手	11.5201435,0.5603856933172027
ドイツ系アメリカ人	11.2314,0.5496262054838723
サッカーのライバル対決	11.374996,0.5580704747394643
2008年のカナダ	11.228992,0.5512179033779149
アメリカ合衆国の総合格闘技	11.223892,0.5547074733153292
東欧ユダヤ系アメリカ人	11.5201435,0.5796447360055598
日本の患者支援団体	11.235151,0.5675373541092271
アメリカ合衆国のコメディアン	11.2314,0.5692288086607294
デンマークの歌手	11.7615185,0.6057828039266118
アメリカ合衆国の音楽賞	11.204885,0.579071721708159
アメリカ合衆国の男性声優	11.21807,0.58110731095679
アーケードゲーム基板	11.292205,0.5945149229812795
アメリカ合衆国の公園	11.370409,0.5986312301740397
2009年のモータースポーツ	11.205521,0.6055520075315682
イタリアを舞台とした映画作品	11.306524,0.6121707765346365
Strikeforceの大会	11.265297,0.6138383027727765
2011年の総合格闘技	11.266962,0.6175275219157234
ヘヴィメタル・ミュージシャン	11.7615185,0.6425618668195586
2012年のアメリカ合衆国のスポーツ	11.419978,0.6266658190026768
カリブ海を舞台とした映画作品	11.262813,0.6215356813700273
ジャカルタ	11.252743,0.6249723498024038
2006年のアメリカ合衆国のスポーツ	11.276817,0.6266658190026768
2011年のアメリカ合衆国のスポーツ	11.266962,0.6266658190026768
オランダのサッカー	11.374996,0.6332357317833361
2010年のアルバム	11.222422,0.6257591908656501
アメリカ合衆国の登山用品メーカー・ブランド	11.252743,0.6274557471873672
動物	11.812609,0.6553819444444444
2010年の日本のスポーツ	11.306758,0.6317579312027273
トニー・ヴィスコンティがプロデュースしたアルバム	11.200109,0.6296230665223479
アフリカ系アメリカ人の俳優	11.279983,0.635950440457819
ハムスター	11.812609,0.6627266299261259
ブルース・ミュージシャン	11.473619,0.6463028385229548
2008年の日本のスポーツ	11.294979,0.637887841253596
2009年のアルバム	11.516427,0.649191259936795
歌手	11.532372,0.6527777777777778
テレビ番組	11.712873,0.6620817901234568
特定非営利活動法人	11.235151,0.6393677173830208
アメリカ合衆国の脚本家	11.2314,0.6415431534946082
声優	11.21807,0.6458333333333333
K-1の大会	11.294979,0.6538679309735081
メジャーリーグ	11.270904,0.6527777777777778
シングル	11.402207,0.6597222222222222
アークティック・モンキーズのアルバム	11.627531,0.6756352484734603
薬学	11.221697,0.65625
NFLの試合	11.276817,0.6631022237002385
榊原ゆいの楽曲	11.402207,0.6704037249020012
アイドル	11.305853,0.6666666666666666
ドーピング違反の総合格闘家	11.698256,0.6875705429098079
全米映画俳優組合賞	11.662316,0.6881732466400483
自動車	11.252743,0.6681481481481482
ブルッヘ出身の人物	11.393026,0.6761981714913959
ブルースロック・バンド	11.503609,0.685703906130925
スピンオフ作品	11.30229,0.6781438209473389
魔法少女リリカルなのはシリーズの登場人物	11.547981,0.6937083687054534
サンディエゴ出身の人物	11.26085,0.6801914008916323
アメリカ合衆国のドラマ映画	11.333041,0.6841020713663123
ゲーム関係者	11.280757,0.6879166666666666
ドラマCD	11.516427,0.70525048828125
2012年のアルバム	11.209969,0.6943032507628727
芸能人女子フットサル選手	11.305853,0.6994788552115483
1975年のアルバム	11.200109,0.6943032507628727
アダルトビデオ	11.374128,0.7040496706550687
アメリカ合衆国のR&Bミュージシャン	11.2586975,0.7046937343118904
デヴィッド・ボウイのアルバム	11.200109,0.702048822543367
F1関係者	11.449381,0.7148406146107206
大阪府出身の人物	11.280757,0.7104048976075482
2004年のアルバム	11.516427,0.7255460095243992
2008年のアルバム	11.516427,0.7255460095243992
2005年のアルバム	11.516427,0.7255460095243992
MTVネットワークス	11.204885,0.7115070753895533
RCAレコードのアルバム	11.200109,0.7124794053124841
NBCユニバーサル・ジャパンの楽曲	11.402207,0.7228627869902007
ワーナー・ブラザーズの作品	11.472758,0.7275386736164694
キングレコードの楽曲	11.516427,0.7309770747202534
サンパウロ州出身の人物	11.698256,0.7399317611882715
架空のクローン	11.547981,0.7352455468988147
ラプソディー・オブ・ファイアのアルバム	11.222422,0.7193021503129285
1995年のアルバム	11.316101,0.7255460095243992
スコットランド系アメリカ人	11.2314,0.7229027342729356
ベスト・アルバム	11.242956,0.7246897665895062
1997年のアルバム	11.242956,0.7255460095243992
アメリカ合衆国のアクション映画	11.262813,0.7277635779249542
