## IMINE2-J-001	cvs
オープンソース	241.53808900000004,
ネットワークソフト	28.803825,0.4140593025429623
テキストエディタ	25.433952,0.40998960410023283
コンピュータゲームを題材にした作品	12.8211,0.3924888353076297
経営戦略論	15.784735,0.3979953342013889
アメリカ合衆国の小売業者	47.429491,0.448644047480736
ロッテグループ	14.374394,0.4077004596721651
IRCクライアント	12.8211,0.4117678879924539
コンピュータゲーム	42.263401,0.4559664306726317
1978年のコンピュータゲーム	12.8211,0.41362930371918094
エセックス級航空母艦	115.81491800000002,0.5652704714905818
日本の卸売企業	12.8211,0.4398433691837896
データ圧縮規格	13.348318,0.44340905542117376
レストランチェーン	12.8211,0.4455690586419752
黄綬褒章受章者	15.500951,0.4545555490808613
トランザクション処理	14.882075,0.45481265916863584
インターネット技術	26.460028,0.48257649753649057
コンピュータゲームのボスキャラクター	14.272237,0.4658014840213478
日本の小売業者	15.652477,0.46998065678963225
サーバ	14.374394,0.47894735262405214
アメリカ合衆国の揚陸艦	40.871752,0.5249307509936422
航空母艦	14.269015,0.48291792889714075
アメリカ合衆国海軍	13.031284,0.48389606854334555
トルコ語	12.157069,0.4830796623386964
お笑い芸人	13.768241,0.486351914912184
KDE	56.257591000000005,0.5588698059816415
日本の外食事業者	12.8211,0.48969799792009217
架空のプロレスラー	14.218298,0.49240901458279746
統合開発環境	51.89398,0.5592785232160209
自動車	16.38699,0.5011111111111111
NYSE上場企業	30.092089,0.5256791290166919
日本の貨物運送サービス	12.038476,0.4952943272971321
IBMのソフトウェア	12.617265,0.49685039253391833
メディアプレーヤーソフト	12.8211,0.49841295315094386
Javaプラットフォーム	14.374394,0.5030848222897377
言語学	12.157069,0.5
学者	12.157069,0.5
UNIXに関連する組織	25.433952,0.5272998332877872
日本のLinux開発	37.290687,0.5541488858682457
Mozilla	14.940267,0.5178856371427273
鉄道駅	14.843781,0.5208333333333333
Webオーサリングソフト	13.348318,0.5196296496466198
日本の商社	14.026624,0.5226660125606836
ダーバン出身の人物	13.031284,0.5212674756462192
コンパイラ	26.869191,0.5461259623767799
C言語	13.520873,0.5318051734425457
アメリカ合衆国の航空母艦	14.29567,0.5362440199193967
コンピュータゲームのシリーズ	12.8211,0.5401609390849605
FLOSS	79.206374,0.6526909722222223
Apacheソフトウェア財団	26.834787,0.5663113537446953
アメリカ合衆国のソフトウェア会社	13.348318,0.5426031222873262
ロンドン出身の人物	12.157069,0.5438459237169205
GNUプロジェクト	40.316027,0.594183551307263
BSD	55.547247999999996,0.626194343740623
ウィキクローン	12.8211,0.5737396012252578
流通	15.784735,0.5934309895833333
Linuxディストリビューション	50.340686,0.6586148873313898
Java	26.460028,0.636895462272329
IPv6	12.085634,0.6183871527777778
エミュレーションソフトウェア	12.383953,0.6256176858281892
東京都港区の企業	14.026624,0.6346991647644461
C++	12.383953,0.6317794051735633
千代田区の企業	13.348318,0.6346991647644461
ジンバブエのゴルファー	13.031284,0.6407933730090686
Ruby	12.8211,0.6426856342560838
Python	12.085634,0.6426856342560838
カリフォルニア州の企業	13.348318,0.6456087025248628
インスタントラーメン	12.085634,0.6435216420896205
日本のラグビー選手	14.374394,0.6515919526315009
ヤマトグループ	12.038476,0.6474779982746057
カサブランカ級航空母艦	12.383953,0.6494124766911008
アメリカ合衆国のゴルファー	13.604694,0.6534299517469072
Javaツール	39.655887,0.7062396835149621
サンリブ・マルショクグループ	13.031284,0.6811156759193769
双日	14.026624,0.6872045300262131
ソフトウェア開発キット	12.085634,0.6866628210125276
オックスフォード大学の教員	12.157069,0.6932632699259832
架空のキックボクサー	12.707288,0.7068631006200887
エポック社	12.8211,0.7099446842225754
JavaScript	14.940267,0.714532615044153
ローソン	44.61018,0.7734721013029664
カプコンのクロスオーバー作品	12.8211,0.7575323087659991
SNKのクロスオーバー作品	12.8211,0.7575323087659991
ロードアイランド州の企業	17.337402,0.7793284202858254
イリノイ州の企業	15.342936,0.78865598629924
バージニア州の鉄道駅	14.843781,0.7931912414901182
サークルKサンクス	29.257171,0.8245416485751987
フリーパッケージ管理システム	13.348318,0.7954258294753086
DOS	12.383953,0.7954258294753086
2D対戦型格闘ゲーム	12.8211,0.7972210978820031
ザ・キング・オブ・ファイターズの登場人物	29.49624,0.8353185031857727
東証一部上場企業	15.652477,0.8158992933875957
かつて存在した日本のコンビニ	14.583309,0.8187756610292013
餓狼伝説の登場人物	26.925586000000003,0.8501473854366115
ペンシルベニア州の企業	14.749153,0.8296605641557356
セブン-イレブン	15.652477,0.8376074934594425
慶應義塾體育會蹴球部の選手	14.374394,0.840513128261162
人物	12.157069,0.8402777777777777
クロスプラットフォームのソフトウェア	29.645366000000003,0.8839725196116255
旭硝子の人物	14.374394,0.8982349537037035
九州・沖縄地方のスーパーマーケット	13.031284,0.9001464843749999
倉敷市の企業	12.8211,0.9086197916666666
大分市の企業	13.031284,0.9234088863168723
美浜区の企業	15.652477,0.9412940279206676
UNIXのソフトウェア	14.547215,0.9565007716049383
岡山市東区の企業	12.8211,0.9565007716049383
Windowsのソフトウェア	12.085634,0.9589843749999999
浦安市の企業	15.652477,0.9737041859567901
別府市	13.031284,0.9834031635802468
大崎市の企業	15.342936,0.9889005347650892
大野城市の企業	13.604694,0.9889005347650893
## IMINE2-J-002	ゆず
ゆずの楽曲	519.5341959999998,
シングル	386.88454299999995,0.2010850975909914
存命人物	36.170109,0.04600694444444444
同名の地名	11.986378,0.18339901881544277
1947年設立の企業	12.154158,0.3004148820441882
スポーツ音楽	11.935519,0.3035143705279957
子供への虐待を扱った作品	11.966665,0.30516952070443476
名数5	12.105552,0.3054924932299576
日本語の姓	11.986378,0.3312396156858732
育児を題材とした作品	11.966665,0.34039998450848774
音楽プロダクション	12.114659,0.3411189594762037
精油	26.964529,0.3488387461004248
2006年没	11.841866,0.3499082846341174
北川悠仁が制作した楽曲	386.41475849999995,0.5306539455460912
1983年生	24.250203,0.3565004137757528
1931年生	11.841866,0.3565004137757528
レースクイーン	12.130603,0.38274580505468764
日本の俳優	12.130603,0.39269943202419477
日本の食品メーカー	12.154158,0.40006321685053103
コマーシャルソング	12.269334,0.41290144659968425
太陽を題材とした楽曲	12.082109,0.412811545846981
日本の調味料	26.964529,0.4200146456685621
ヘ長調の曲	72.5007315,0.44582843712491427
ハ長調の曲	60.381635,0.44582843712491427
ト長調の曲	60.360186,0.44582843712491427
お笑い芸人	11.919906,0.4259718750124257
日本のタレント	12.1196,0.4267518885424059
イ長調の曲	48.266760000000005,0.44582843712491427
いじめを題材とした漫画作品	11.966665,0.43112567623542997
ホ長調の曲	36.527842,0.44582843712491427
岩沢厚治が制作した楽曲	205.914561,0.5306539455460912
ニ長調の曲	24.302463,0.44582843712491427
変ト長調の曲	24.129371499999998,0.44582843712491427
小田和正の楽曲	12.269334,0.4432383987544204
ロ長調の曲	12.175422,0.44582843712491427
変ニ長調の曲	12.154158,0.44582843712491427
変ホ長調の曲	12.104538,0.44582843712491427
変イ長調の曲	11.964786,0.44582843712491427
いじめを題材としたアニメ作品	11.966665,0.44590636100837977
アルバム	96.986976,0.48779130668535486
菓子のコマーシャルソング	12.195061,0.4573212099707612
応援歌	11.935519,0.4577550000320246
ゆずのアルバム	243.51335599999996,0.5747049456647102
果物	26.964529,0.47049713516671415
2010年の音楽関連の映像作品	24.195013000000003,0.46976495095063553
音楽	48.200439,0.48193686873257047
日本の写真家	11.841866,0.4678348335441701
アイドル番組	12.115425,0.46822191301105326
恋愛漫画	12.195061,0.47191358032598657
りぼんの漫画を原作とするアニメ作品	11.966665,0.47189872361954366
神道	12.012744,0.47704154390734677
ラジオ番組	11.957121,0.4795620929829844
漫画	36.137851,0.49178059083679687
テレビ番組	12.115425,0.48585928053163147
キャラクター	12.158617,0.48629780008998336
秋の季語	26.964529,0.49441923156305695
日本のお笑いコンビ	12.141892,0.48744806515933314
お笑い芸人	11.919906,0.48744806515933314
アニメ	11.966665,0.4880377095526458
継続中の作品	12.115425,0.4891071357716089
2014年のアルバム	12.319983,0.48944222621009736
桜を題材とした楽曲	11.917405,0.494859438511489
クリスマスソング	12.269334,0.496794357161925
2009年のアルバム	24.156602999999997,0.5070518349630708
人物の愛称	12.320051,0.5030092592592592
日本のストリート出身ミュージシャン	12.150163,0.5036578522030853
春を題材とした楽曲	12.165033,0.5045593535916468
夏を題材とした楽曲	12.126833,0.5045593535916468
ゆずの映像作品	120.90892200000002,0.5589861325050451
オリコンミリオンセラー達成アルバム	12.181916,0.5053228645365405
日本のバンド	12.043078,0.5140804284634272
春畑道哉が制作した楽曲	12.126833,0.5151874906019255
グラビアアイドル	24.250203,0.521560737990112
テレビ番組関連のコンピレーション・アルバム	11.841866,0.5227768041592199
末次由紀	12.195061,0.5238188158130339
前山田健一が制作した楽曲	24.404405,0.5306539455460912
NHK紅白歌合戦出演者	12.150163,0.5251216703840696
2013年のゴールドディスク	12.347293,0.5265707291299164
2014年のゴールドディスク	12.319983,0.5265707291299164
コラボレーション・シングル	24.194513999999998,0.5326214941600679
2012年のゴールドディスク	11.923367,0.5265707291299164
2013年の音楽関連の映像作品	35.810958,0.5393631602324453
前田亘輝が制作した楽曲	12.126833,0.5306539455460912
蔦谷好位置が制作した楽曲	12.090283,0.5306539455460912
覆面レスラー	12.238531,0.530902692943934
トリプルA面シングル	12.028169,0.5326214941600679
自治体のマスコット	12.158617,0.5337994028161296
2011年の音楽関連の映像作品	11.964786,0.5393631602324453
NHK紅白歌合戦歌唱楽曲	36.2895145,0.5535207276671243
近畿地方のマスコット	12.158617,0.5418522985530373
女装作品	11.879663,0.5420877216441636
2013年のアルバム	12.347293,0.5424001241511245
2012年のアルバム	11.923367,0.5424001241511245
ビデオ・クリップ集	35.880424000000005,0.5584779688699429
2008年の音楽関連の映像作品	24.631771999999998,0.5534508472348244
オリコンアルバムチャート1位獲得作品	121.07690500000001,0.6018053392921969
長大な音楽作品名	23.929355,0.5625
日本の歌手グループ	12.12207,0.5716069210271021
映画主題歌	12.19759,0.5747885379819915
2004年のテレビアニメ	11.966665,0.5754752347379655
愛媛県出身の人物	12.1196,0.5769954243251889
ミニ・アルバム	48.877826999999996,0.5980167264316028
山形県出身の人物	12.130603,0.5786180356849421
兵庫県出身の人物	11.841866,0.5786180356849421
2000年のアルバム	24.388088,0.586103963846073
2003年の音楽関連の映像作品	12.320015,0.5801455533586248
2006年の音楽関連の映像作品	11.986378,0.5801455533586248
日本生命のコマーシャルソング	36.1863235,0.5941369458060437
日本のフォークグループ	12.150163,0.58368700122528
ベスト・アルバム	36.488319,0.5980167264316028
横浜市出身の人物	12.150163,0.5857294141722189
ライブ・ビデオ	12.320015,0.5868835715861328
1999年のアルバム	24.51533,0.5939866116825853
1998年のアルバム	24.487408000000002,0.5939866116825853
2003年のアルバム	23.974319,0.5939866116825853
ライブ・アルバム	24.583883,0.5980167264316028
コンセプト・アルバム	24.296447,0.5980167264316028
2007年のアルバム	12.326421,0.5939866116825853
2008年のアルバム	12.293027,0.5939866116825853
1997年のアルバム	12.256932,0.5939866116825853
2001年のアルバム	12.250469,0.5939866116825853
2005年のアルバム	12.238531,0.5939866116825853
2004年のアルバム	11.987217,0.5939866116825853
2006年のアルバム	11.959968,0.5939866116825853
2002年のアルバム	11.930266,0.5939866116825853
カップ麺のコマーシャルソング	12.154158,0.5966053773228523
Yumingの楽曲	11.996924,0.5966264971893128
Yumingが制作した楽曲	11.996924,0.5975973499080561
ミカン属	26.964529,0.6061383096110743
まんがくらぶ	12.184808,0.6026413214921063
果物をモチーフにしたマスコット	12.158617,0.6033147646207465
2010年のシングル	48.441807000000004,0.6236784344739043
渋谷区の企業	12.114659,0.6068979102868601
映画のサウンドトラック	12.087489,0.6113318495837952
トイズファクトリーのアーティスト	24.193241,0.618817179736746
小田和正が制作した楽曲	12.269334,0.6124604283055674
ヤングエース	11.986378,0.6164170247434105
キマグレンの楽曲	12.19759,0.6165782523748571
クリスマスの約束関連楽曲	12.269334,0.616626925818854
2014年のシングル	23.969946,0.6236784344739043
2013年のシングル	60.5759825,0.6444887844102887
2009年のシングル	36.377665,0.648366360416111
日テレジェニック	12.1196,0.635252175954592
鳥を題材とした楽曲	11.96497,0.6365191308236524
オリコンシングルチャート1位獲得作品	23.961894,0.6436186230162556
オリコン月間アルバムチャート1位獲得作品	24.24335,0.6444887844102887
アニメ映画主題歌	24.404405,0.6448606728101336
覆面レスラーとして活動していたプロレスラー	12.1196,0.638567234564329
別冊フレンド	12.195061,0.640708620772959
2012年のシングル	36.128222,0.6616154347239245
2011年のシングル	36.056787,0.6616154347239245
サラリーマン金太郎	12.082109,0.6490138967604099
1999年のシングル	48.812021,0.6709368422824247
2007年のシングル	48.5329915,0.680396312565447
2003年のシングル	47.990303,0.680396312565447
東海・北陸地方のテレビのミニ番組	12.115425,0.6627425161465478
NHK全国学校音楽コンクール課題曲	12.075537,0.6633954857009644
番場秀一の監督したミュージック・ビデオ	12.082109,0.6636218367769775
2008年のシングル	36.22655,0.680396312565447
トヨタ自動車のコマーシャルソング	24.144441,0.6730826254980782
トムス・エンタテインメント	11.966665,0.670436638475699
1998年のシングル	24.258696,0.680396312565447
2004年のシングル	23.963687999999998,0.680396312565447
2002年のシングル	23.80303,0.680396312565447
2000年のシングル	11.96497,0.677761286442192
ポニーキャニオンのアルバム	11.841866,0.6781901182061045
フジテレビの主題歌	36.11405,0.6938518929750079
2006年のシングル	12.269334,0.6938518929750079
1995年のシングル	12.126833,0.6938518929750079
2005年のシングル	12.082109,0.6938518929750079
日本の女子プロレスラー	12.1196,0.6942595525786185
HUNTER×HUNTER	24.404405,0.7094150589045619
横浜市を題材とした楽曲	23.907832,0.7128477952546531
オールナイトニッポン	11.957121,0.7125904858610541
トイズファクトリーのシングル	11.996924,0.7172342686760942
りぼんの漫画作品	11.966665,0.7186894414490507
TUBEの楽曲	12.126833,0.7212810204150334
ドラえもんのアニメソング	11.879663,0.726642550582248
三ツ矢サイダーのコマーシャルソング	12.175422,0.7315653141318568
京都府の食文化	26.964529,0.7485280502730981
プラチナムプロダクション	12.1196,0.751539596085504
高知県の食文化	26.964529,0.7623784286854851
UHFアニメ	11.966665,0.7527621292456131
トイズファクトリー	12.114659,0.754007967725212
名古屋テレビの深夜番組	12.115425,0.7557860837472882
NHKのテレビドラマ主題歌	12.075537,0.7646400516546638
松竹芸能	11.919906,0.7707357444598447
宝塚歌劇団	12.105552,0.77895621266177
日本テレビのテレビアニメ主題歌	24.404405,0.8055107706159558
スターダムに所属したプロレスラー	24.358131,0.8359381630483793
アニマックスのアニメ	11.966665,0.8365928904285264
オールナイトニッポンGOLD	11.957121,0.83735409164952
あいのり主題歌	23.923975,0.8499093545135465
連続テレビ小説主題歌	12.0418825,0.8572460049462196
ネコを主人公にした物語	12.184808,0.8634328668027765
ドラえもん映画主題歌担当アーティスト	12.150163,0.8699956846287088
テレビ朝日金曜ナイトドラマの主題歌	12.082109,0.875768120570416
山梨県の神社	12.012744,0.8851795143304074
横須賀市の企業	12.154158,0.8941018914080872
北杜市の歴史	12.012744,0.8997654558765217
名古屋テレビのバラエティ番組	12.115425,0.900510469676232
名古屋テレビの冠番組	12.115425,0.9023949905751052
磯子区	12.150163,0.9131804514501274
箕面市	12.158617,0.9505452674897119
あらすじの不十分な作品記事	11.966665,1.0
## IMINE2-J-003	フェイト
存命人物	182.60361500000002,
UFCの大会	113.389232,0.031494341563786006
批判	11.755409,0.009868827160493825
オーラルコミュニケーション	11.536222,0.16316928321662014
Strikeforce王者	11.698256,0.18196507465471268
化学の一覧	11.583363,0.1875
社会言語学	11.536222,0.22916666666666666
毒	11.583363,0.23275230942012937
キャンプ用品メーカー	11.252743,0.23422016364157042
市民活動家	11.305344,0.24890583862153182
格闘技関連一覧	11.223892,0.26940633097088856
ポルトガルの都市	11.253786,0.28490310940119645
1968年設立の企業	11.252743,0.29309369974297694
ロックの殿堂入りの人物	23.143500000000003,0.3262954141071601
1941年設立	11.524246,0.31180740648705807
1937年設立	11.374676,0.31180740648705807
1981年生	23.091282,0.34707939609906857
1985年生	22.566703,0.34707939609906857
1979年生	22.538041,0.34707939609906857
レーシングカー・デザイナー	11.449381,0.32972585743887534
ロードムービー	22.779282000000002,0.35614909465553335
一社提供番組	11.712873,0.332799114971496
アウトドア用ファッションブランド	11.252743,0.3336384134950092
コペンハーゲン出身の人物	11.7615185,0.3357290675368655
1992年設立の企業	11.380365,0.3353820605200831
1997年設立の企業	11.374128,0.3353820605200831
スポーツリーグ	11.294725,0.3360268042020716
1977年没	11.473619,0.3405674434627006
1999年没	11.449381,0.3405674434627006
1971年没	11.21807,0.3405674434627006
1980年生	11.773591,0.34707939609906857
1956年生	11.7615185,0.34707939609906857
1948年生	11.5201435,0.34707939609906857
1984年生	11.513935,0.34707939609906857
1909年生	11.473619,0.34707939609906857
1944年生	11.449381,0.34707939609906857
1989年生	11.420099,0.34707939609906857
1982年生	11.320818,0.34707939609906857
1973年生	11.279983,0.34707939609906857
1970年生	11.2314,0.34707939609906857
1913年生	11.21807,0.34707939609906857
自動車展示会	11.252743,0.3494104776032141
エミー賞受賞者	11.2314,0.34967370269950593
東京都出身の人物	22.611197,0.379116769845012
ゲームクリエイター	11.280757,0.3549157965926603
皮膚科学	11.235151,0.3554490060715376
WECの大会	45.850055,0.437857309491508
インターネットの人物	11.280757,0.36318320224889034
1990年の映画	22.774402000000002,0.3891031556488823
インターネットのプライバシー	11.755409,0.37112679866013026
レースクイーン	11.305853,0.37130965682516454
イギリス海軍の同名艦	11.368794,0.3747012949934191
ダーツ大会	11.294725,0.3746575544936064
グラミー賞受賞者	11.279983,0.375
日本の法の一覧	11.583363,0.37644029295202275
スペインの大学	11.302492,0.3856238544193038
日本の情報・通信業	11.380365,0.38606153432292467
アメリカ合衆国の音楽プロデューサー	11.279983,0.3876821899569107
1965年の映画	11.472758,0.3891031556488823
1988年の映画	11.333041,0.3891031556488823
1994年の映画	11.306524,0.3891031556488823
2006年の映画	11.288376,0.3891031556488823
2010年の音楽	11.532372,0.3916808374442818
日本の女性モデル	11.305853,0.3923611111111111
一般用医薬品	11.221697,0.40009407914269285
宗教映画	11.262813,0.4003568371138439
日本の化学物質関連法規	11.583363,0.40116554878218186
ゴールデングローブ賞受賞者	11.2314,0.40040789131157023
2009年のアメリカ合衆国のスポーツ	45.690989,0.4754516915250271
2009年の総合格闘技	45.690989,0.47613951403177857
2012年の総合格闘技	45.643841,0.47613951403177857
2010年の総合格闘技	45.546948,0.47613951403177857
アメリカ合衆国の俳優	22.511383000000002,0.42617660256868234
フランスの写真家	11.252743,0.40185447672637675
オランダ	11.566965,0.40263310185185186
コンピュータゲーム	45.91701499999999,0.4833869047619048
ギリシャ系アメリカ人	11.2314,0.4135847750914494
2012年のブラジル	11.376429,0.4163228450233068
2012年のカナダ	11.524214,0.4173333760018162
2008年のカナダ	11.228992,0.4173333760018162
過去のフェイスネットワーク所属者	11.305853,0.42085403694951706
ドイツ系アメリカ人	11.2314,0.4211794824382477
プリンター	11.393437,0.4220213208455584
2010年のアメリカ合衆国のスポーツ	34.24019,0.4754516915250271
2008年の総合格闘技	33.76193,0.47613951403177857
2007年のコンピュータゲーム	11.601909,0.43122636853736207
2008年のコンピュータゲーム	11.507862,0.43122636853736207
アメリカ合衆国の歌手	11.5201435,0.43300944795704177
日本の患者支援団体	11.235151,0.4325143004090418
アダルト・コンテンポラリー	11.5201435,0.44108084888153
アメリカ合衆国の総合格闘技	11.223892,0.44105998536272584
アメリカ合衆国のコメディアン	11.2314,0.44181518667250425
東欧ユダヤ系アメリカ人	11.5201435,0.44461744796832486
格闘技	34.132134,0.49479166666666663
企業	34.007236,0.4950520833333333
アルバム	34.068279,0.4957638888888889
アメリカ合衆国の男性声優	11.21807,0.44654116317658316
サッカーのライバル対決	11.374996,0.44755526904661536
2008年のアメリカ合衆国のスポーツ	22.532938,0.4754516915250271
全英アルバムチャート1位獲得作品	22.836523999999997,0.47613596953432047
アメリカ合衆国の音楽賞	11.204885,0.4552278706051965
アメリカ合衆国の公園	11.370409,0.4558868504872046
サッカー選手	22.813125,0.48549785355965486
2009年のモータースポーツ	11.205521,0.4634975697796612
コンピュータ	22.709538000000002,0.48958333333333337
デンマークの歌手	11.7615185,0.4678233241878897
映画	22.569336999999997,0.4929456018518519
アーケードゲーム基板	11.292205,0.4694488333942474
カリブ海を舞台とした映画作品	11.262813,0.46973241874928545
バイーア州	22.898922,0.49550640909886545
サッカー	22.568438,0.49479166666666663
アフリカ系アメリカ人のミュージシャン	22.753602,0.4951984120386578
イタリアを舞台とした映画作品	11.306524,0.4721879872914404
ジャカルタ	11.252743,0.47241218931390666
音楽	23.048902,0.500625
2012年のアメリカ合衆国のスポーツ	11.419978,0.4754516915250271
2006年のアメリカ合衆国のスポーツ	11.276817,0.4754516915250271
2011年のアメリカ合衆国のスポーツ	11.266962,0.4754516915250271
2011年の総合格闘技	11.266962,0.47613951403177857
2010年のアルバム	11.222422,0.4768142265565958
アメリカ合衆国の登山用品メーカー・ブランド	11.252743,0.47698052177391814
2010年の日本のスポーツ	11.306758,0.4794358845203804
Strikeforceの大会	11.265297,0.48079391859012216
2008年の日本のスポーツ	11.294979,0.48402128335559036
特定非営利活動法人	11.235151,0.48402795313531966
声優	11.21807,0.48437499999999994
フラワーカンパニーズのアルバム	22.559057,0.5111067221664555
オランダのサッカー	11.374996,0.4884220103084298
アフリカ系アメリカ人の俳優	11.279983,0.4883721338686938
歌手	11.532372,0.48958333333333337
トニー・ヴィスコンティがプロデュースしたアルバム	11.200109,0.4894461163394887
動物	11.812609,0.4915364583333333
薬学	11.221697,0.4921875
2009年のアルバム	11.516427,0.4940274104095816
文人	23.094409,0.5197337962962962
シングル	11.402207,0.49479166666666663
テレビ番組	11.712873,0.4965613425925926
メジャーリーグ	11.270904,0.49655856369123214
アメリカ合衆国の脚本家	11.2314,0.4969593030113232
アイドル	11.305853,0.5
2007年のアルバム	34.460059,0.5514197585804003
自動車	11.252743,0.5011111111111111
ヘヴィメタル・ミュージシャン	11.7615185,0.5075230915545246
ブルース・ミュージシャン	11.473619,0.5098803475897004
日本の小説家	23.094409,0.5357980543691194
K-1の大会	11.294979,0.5121057453757287
ハムスター	11.812609,0.5158150568743866
ドナルド・フェイゲンのアルバム	22.845857,0.5434763171270057
ブルッヘ出身の人物	11.393026,0.5181940789256442
サンディエゴ出身の人物	11.26085,0.5193921783312376
NFLの試合	11.276817,0.5206396672877082
榊原ゆいの楽曲	11.402207,0.5227903951528204
アークティック・モンキーズのアルバム	11.627531,0.5276323802765367
スピンオフ作品	11.30229,0.5311912244257965
ドーピング違反の総合格闘家	11.698256,0.5353067902918361
アメリカ合衆国のドラマ映画	11.333041,0.5351606381749692
魔法少女リリカルなのはシリーズの登場人物	11.547981,0.5364045526120512
ブルースロック・バンド	11.503609,0.5390705368121841
2006年のアルバム	23.152315,0.5651779629510925
全米映画俳優組合賞	11.662316,0.5400614855897522
2012年のアルバム	11.209969,0.5423292846531075
1975年のアルバム	11.200109,0.5423292846531075
芸能人女子フットサル選手	11.305853,0.5434338956242812
デヴィッド・ボウイのアルバム	11.200109,0.5449182752325036
MTVネットワークス	11.204885,0.546459181939999
ゲーム関係者	11.280757,0.5473842592592592
アダルトビデオ	11.374128,0.5477088967924828
アメリカ合衆国のR&Bミュージシャン	11.2586975,0.5482082704314309
大阪府出身の人物	11.280757,0.5490374442047566
F1関係者	11.449381,0.5512825188884664
RCAレコードのアルバム	11.200109,0.5511588426716038
ドラマCD	11.516427,0.5520370165512039
ラプソディー・オブ・ファイアのアルバム	11.222422,0.5596353843882901
2004年のアルバム	11.516427,0.5651779629510925
2008年のアルバム	11.516427,0.5651779629510925
2005年のアルバム	11.516427,0.5651779629510925
架空のクローン	11.547981,0.5653128422679372
1995年のアルバム	11.316101,0.5653128422679372
1997年のアルバム	11.242956,0.5653128422679372
1992年のアルバム	11.208993,0.5653128422679372
NBCユニバーサル・ジャパンの楽曲	11.402207,0.5666501762180781
スコットランド系アメリカ人	11.2314,0.5675284006702949
ボン・ジョヴィのアルバム	11.208993,0.5698131451975729
ベスト・アルバム	11.242956,0.5727702418241232
アメリカ合衆国のアクション映画	11.262813,0.572982497711861
ワーナー・ブラザーズの作品	11.472758,0.5768263899698278
ロッテルダムのスポーツ	22.725617999999997,0.6045820082288649
キングレコードの楽曲	11.516427,0.6051066053606563
ゲーム主題歌	11.402207,0.6101729762175868
サンパウロ州出身の人物	11.698256,0.6131950472608023
ブラジルの総合格闘家	23.212191,0.6432848296872617
UFCのブラジル大会	11.376429,0.6178771779779823
オランダのサッカー選手	22.705396999999998,0.6498369956483635
20世紀フォックスの作品	11.262813,0.6198129502299489
Facebook	11.755409,0.6251682643598959
アメリカ合衆国のスポーツ映画	11.472758,0.6258155634060601
ユナイテッド・アーティスツの作品	11.333041,0.62604407294584
架空の物質	11.515039,0.6268311358360951
