## IMINE2-J-001	cvs
ラジオ番組	11.957121,8.31245076055792
ニ長調の曲	24.302463,9.197913517888793
日本の俳優	12.130603,8.870376867322456
アニメ	11.966665,8.991521288738713
変ト長調の曲	24.129371499999998,9.992670011168888
育児を題材とした作品	11.966665,9.620131951075626
神道	12.012744,9.861771741150934
コマーシャルソング	12.269334,10.137179304483265
2010年の音楽関連の映像作品	24.195013000000003,11.34866882049403
あらすじの不十分な作品記事	11.966665,10.588455542170571
太陽を題材とした楽曲	12.082109,10.946484534570853
日本のタレント	12.1196,11.514610871708658
継続中の作品	12.115425,11.654534420184852
小田和正の楽曲	12.269334,11.98545995142048
テレビ番組	12.115425,12.296649323596448
2013年のシングル	60.5759825,16.698229716410868
ミニ・アルバム	48.877826999999996,16.405076956564265
ロ長調の曲	12.175422,13.637959360781284
変ニ長調の曲	12.154158,14.035881171480874
お笑い芸人	11.919906,14.308486885156945
変ホ長調の曲	12.104538,14.588583331591957
秋の季語	26.964529,16.626404769369923
2013年の音楽関連の映像作品	35.810958,18.083143680264264
変イ長調の曲	11.964786,15.833556045593252
2010年のシングル	48.441807000000004,20.67242559730175
菓子のコマーシャルソング	12.195061,16.97708480706213
2009年のアルバム	24.156602999999997,18.907841344643444
ビデオ・クリップ集	35.880424000000005,21.231431218863456
日本の写真家	11.841866,18.761926496346383
NHK紅白歌合戦歌唱楽曲	36.2895145,22.694509639339042
1999年のシングル	48.812021,25.269751869342027
ベスト・アルバム	36.488319,24.098369853884073
2007年のシングル	48.5329915,26.645957962595446
2003年のシングル	47.990303,27.326354275160895
グラビアアイドル	24.250203,24.11505044289504
日本生命のコマーシャルソング	36.1863235,26.685224643658273
コラボレーション・シングル	24.194513999999998,25.28728729925463
前山田健一が制作した楽曲	24.404405,25.83963535224965
2014年のアルバム	12.319983,24.408395507452582
日本のお笑いコンビ	12.141892,24.92494532902078
お笑い芸人	11.919906,25.36804855645728
応援歌	11.935519,26.014494363290243
2009年のシングル	36.377665,31.449739377454975
2008年の音楽関連の映像作品	24.631771999999998,29.89020949455462
オリコンミリオンセラー達成アルバム	12.181916,27.888900946251805
2000年のアルバム	24.388088,31.169339235447307
日本のストリート出身ミュージシャン	12.150163,29.003706271115437
いじめを題材とした漫画作品	11.966665,29.385623997676667
アイドル番組	12.115425,29.88833996866151
いじめを題材としたアニメ作品	11.966665,30.299288227197223
2012年のシングル	36.128222,36.402323128694846
2011年のシングル	36.056787,37.063938563418766
日本のバンド	12.043078,31.876630705204335
ミカン属	26.964529,36.12189796830301
りぼんの漫画を原作とするアニメ作品	11.966665,32.864164446294176
春畑道哉が制作した楽曲	12.126833,33.29662242562277
1999年のアルバム	24.51533,37.01846706502947
1998年のアルバム	24.487408000000002,37.58364502798057
恋愛漫画	12.195061,34.773336077427686
2003年のアルバム	23.974319,38.605204654524464
2008年のシングル	36.22655,42.67023612309687
ライブ・アルバム	24.583883,40.09363624806381
コンセプト・アルバム	24.296447,40.66716212549652
テレビ番組関連のコンピレーション・アルバム	11.841866,37.695689511827034
桜を題材とした楽曲	11.917405,38.29374262416104
春を題材とした楽曲	12.165033,39.048343732596585
夏を題材とした楽曲	12.126833,39.498142069803
末次由紀	12.195061,40.01160869886109
前田亘輝が制作した楽曲	12.126833,40.6663777964965
トリプルA面シングル	12.028169,41.135529903129544
蔦谷好位置が制作した楽曲	12.090283,41.653287083853705
覆面レスラー	12.238531,42.358646734897114
2013年のゴールドディスク	12.347293,42.878167781141
2014年のゴールドディスク	12.319983,43.36385947029819
フジテレビの主題歌	36.11405,52.10620122128744
クリスマスソング	12.269334,44.504972863866485
2012年のゴールドディスク	11.923367,44.88539623657217
自治体のマスコット	12.158617,45.84106762557045
NHK紅白歌合戦出演者	12.150163,46.37725410397545
2014年のシングル	23.969946,51.255583293810375
トイズファクトリーのアーティスト	24.193241,52.01337511866267
2011年の音楽関連の映像作品	11.964786,48.10700651605603
女装作品	11.879663,48.60136778354387
2013年のアルバム	12.347293,49.412527293928974
近畿地方のマスコット	12.158617,49.924679370980094
2012年のアルバム	11.923367,50.4471723607123
アニメ映画主題歌	24.404405,56.42839432793837
2004年のテレビアニメ	11.966665,52.22527786898359
日本の歌手グループ	12.12207,52.81677222041598
映画主題歌	12.19759,53.52558693563322
2003年の音楽関連の映像作品	12.320015,54.11045953788967
2006年の音楽関連の映像作品	11.986378,54.651094233268786
横浜市出身の人物	12.150163,55.57743829187675
愛媛県出身の人物	12.1196,56.29817181999046
オリコン月間アルバムチャート1位獲得作品	24.24335,62.11054983269094
オリコンシングルチャート1位獲得作品	23.961894,62.68090187147593
山形県出身の人物	12.130603,58.147616170740115
ライブ・ビデオ	12.320015,58.79464515537685
兵庫県出身の人物	11.841866,59.22892169455892
日本のフォークグループ	12.150163,59.90689922383982
カップ麺のコマーシャルソング	12.154158,60.60508499615674
トヨタ自動車のコマーシャルソング	24.144441,66.88336188835511
2007年のアルバム	12.326421,62.04257622279522
2008年のアルバム	12.293027,62.607754185746316
1997年のアルバム	12.256932,63.17293214869739
2001年のアルバム	12.250469,63.73811011164848
2005年のアルバム	12.238531,64.30328807459956
1998年のシングル	24.258696,70.89236288846932
2004年のアルバム	11.987217,65.48751282248304
2006年のアルバム	11.959968,66.05269078543414
2002年のアルバム	11.930266,66.61786874838522
2004年のシングル	23.963687999999998,73.42989955583191
2002年のシングル	23.80303,74.11029586839734
渋谷区の企業	12.114659,69.11226761452728
果物をモチーフにしたマスコット	12.158617,69.98982627488066
Yumingが制作した楽曲	11.996924,70.5984902859005
Yumingの楽曲	11.996924,71.18173989859964
クリスマスの約束関連楽曲	12.269334,72.78369475137595
まんがくらぶ	12.184808,73.52213781618997
映画のサウンドトラック	12.087489,74.18878983750959
横浜市を題材とした楽曲	23.907832,81.75537775530927
HUNTER×HUNTER	24.404405,82.83271016648793
小田和正が制作した楽曲	12.269334,76.90928827625254
キマグレンの楽曲	12.19759,77.47861654229298
京都府の食文化	26.964529,86.59082269360319
高知県の食文化	26.964529,87.35320112228864
覆面レスラーとして活動していたプロレスラー	12.1196,80.17231011179311
日テレジェニック	12.1196,80.85567632820965
ヤングエース	11.986378,81.43985156623019
鳥を題材とした楽曲	11.96497,82.48374276541706
別冊フレンド	12.195061,84.35417605390109
番場秀一の監督したミュージック・ビデオ	12.082109,85.31683844555167
サラリーマン金太郎	12.082109,86.15520376886937
NHK全国学校音楽コンクール課題曲	12.075537,87.04744535822518
トムス・エンタテインメント	11.966665,87.86100175229502
2000年のシングル	11.96497,88.81210853563122
2006年のシングル	12.269334,89.8338602441262
1995年のシングル	12.126833,90.51425655669162
2005年のシングル	12.082109,91.19465286925707
ポニーキャニオンのアルバム	11.841866,91.99738453058686
日本の女子プロレスラー	12.1196,93.35769801464926
東海・北陸地方のテレビのミニ番組	12.115425,94.1522731094789
日本テレビのテレビアニメ主題歌	24.404405,103.60136974414802
オールナイトニッポン	11.957121,96.7208100555147
スターダムに所属したプロレスラー	24.358131,105.96103214394348
トイズファクトリーのシングル	11.996924,99.05288815199201
三ツ矢サイダーのコマーシャルソング	12.175422,100.65765860427224
TUBEの楽曲	12.126833,101.35682778680476
あいのり主題歌	23.923975,109.87766555857839
ドラえもんのアニメソング	11.879663,102.97999693090038
りぼんの漫画作品	11.966665,103.96666473816711
UHFアニメ	11.966665,105.0062541386613
プラチナムプロダクション	12.1196,106.00747551386318
名古屋テレビの深夜番組	12.115425,107.2375974320667
トイズファクトリー	12.114659,108.1017726527967
NHKのテレビドラマ主題歌	12.075537,109.70860812907466
松竹芸能	11.919906,111.30682650297986
宝塚歌劇団	12.105552,112.46220722453427
オールナイトニッポンGOLD	11.957121,116.05323806599004
アニマックスのアニメ	11.966665,117.20780655290447
連続テレビ小説主題歌	12.0418825,119.74787025869638
ネコを主人公にした物語	12.184808,121.45010876115359
ドラえもん映画主題歌担当アーティスト	12.150163,122.51438818431339
テレビ朝日金曜ナイトドラマの主題歌	12.082109,123.9208276683863
山梨県の神社	12.012744,125.16347903068662
横須賀市の企業	12.154158,126.44648867817926
北杜市の歴史	12.012744,127.50505021087196
名古屋テレビのバラエティ番組	12.115425,128.97679842718745
名古屋テレビの冠番組	12.115425,130.2455423007099
磯子区	12.150163,131.80544047583075
箕面市	12.158617,136.53422547793235
## IMINE2-J-003	フェイト
存命人物	182.60361500000002,
UFCの大会	113.389232,0.08357767489711934
2009年のアメリカ合衆国のスポーツ	45.690989,0.5115290449200889
批判	11.755409,0.015028935185185183
WECの大会	45.850055,0.9597532007869984
化学の一覧	11.583363,0.6020149538644547
Strikeforce王者	11.698256,0.6731372582827339
コンピュータゲーム	45.91701499999999,1.5225698585196301
2009年の総合格闘技	45.690989,1.715334072544454
オーラルコミュニケーション	11.536222,1.038865219419003
2012年の総合格闘技	45.643841,2.2821041460627693
企業	34.007236,1.9813317499914422
2010年の総合格闘技	45.546948,2.7640187161006518
社会言語学	11.536222,1.5025744032921806
毒	11.583363,1.9852002746905222
1968年設立の企業	11.252743,2.1769553334452705
格闘技	34.132134,3.582118741347434
ロックの殿堂入りの人物	23.143500000000003,3.104274650466021
キャンプ用品メーカー	11.252743,2.533261639072041
2010年のアメリカ合衆国のスポーツ	34.24019,4.280805813637362
アルバム	34.068279,4.640339126159304
1981年生	23.091282,3.9806377237740542
1985年生	22.566703,4.234673553243409
1979年生	22.538041,4.488709382712765
コンピュータ	22.709538000000002,4.719728981218505
ロードムービー	22.779282000000002,4.846133374319228
2008年の総合格闘技	33.76193,6.30640495011282
文人	23.094409,5.560650265330735
市民活動家	11.305344,4.293742036343366
東京都出身の人物	22.611197,5.955761895931075
1990年の映画	22.774402000000002,6.302656348300391
音楽	23.048902,6.5347433002219
ポルトガルの都市	11.253786,5.219947406979508
映画	22.569336999999997,7.216672267594092
2007年のアルバム	34.460059,9.18348776205843
1992年設立の企業	11.380365,6.203048650032844
サッカー	22.568438,8.254596647816964
1997年設立の企業	11.374128,6.525934299185686
アメリカ合衆国の俳優	22.511383000000002,8.788469605856381
格闘技関連一覧	11.223892,7.193800027113684
コペンハーゲン出身の人物	11.7615185,7.480432417632995
1941年設立	11.524246,7.63626665682573
参照方法	22.973479,10.288909016754848
1937年設立	11.374676,7.945463339467774
アウトドア用ファッションブランド	11.252743,8.246975086647629
2008年のアメリカ合衆国のスポーツ	22.532938,11.080540845083954
グラミー賞受賞者	11.279983,8.848226109815556
自動車展示会	11.252743,9.08560130968925
バイーア州	22.898922,12.383157109741138
レーシングカー・デザイナー	11.449381,9.935231284464203
サッカー選手	22.813125,13.258576243627733
皮膚科学	11.235151,10.340983379783822
全英アルバムチャート1位獲得作品	22.836523999999997,14.008740351736513
薬学	11.221697,10.742164505813333
エミー賞受賞者	11.2314,11.014000639524717
1977年没	11.473619,11.330030197421793
1999年没	11.449381,11.575558478400112
動物	11.812609,11.943209459058986
アフリカ系アメリカ人のミュージシャン	22.753602,15.726713468315298
1980年生	11.773591,12.412811836868812
1956年生	11.7615185,12.666847666338166
自動車	11.252743,12.601126120439629
インターネットのプライバシー	11.755409,13.001304786836437
1971年没	11.21807,13.074948551658034
1948年生	11.5201435,13.507891716875612
1984年生	11.513935,13.761927546344966
1909年生	11.473619,14.015963375814321
フラワーカンパニーズのアルバム	22.559057,18.83873280559058
1944年生	11.449381,14.59196137479891
ゲーム関係者	11.280757,14.6385115571843
1989年生	11.420099,14.956241919768713
一社提供番組	11.712873,15.384492997631456
1982年生	11.320818,15.425122987317357
スポーツリーグ	11.294725,15.665680800594282
1973年生	11.279983,15.893438762470723
1970年生	11.2314,16.147474591940075
1913年生	11.21807,16.401510421409434
歌手	11.532372,16.785956774306037
日本の小説家	23.094409,22.887662794146344
アイドル	11.305853,17.393245892241715
スペインの大学	11.302492,17.605616166250897
ゲームクリエイター	11.280757,17.89181073889004
説明が求められている文章がある記事	11.755409,18.375153505291
ドナルド・フェイゲンのアルバム	22.845857,24.657690564606867
日本の情報・通信業	11.380365,18.910389499111723
声優	11.21807,19.07333421207478
2006年のアルバム	23.152315,26.12345638824816
インターネットの人物	11.280757,19.704441693119385
日本の化学物質関連法規	11.583363,20.17153862860825
フェイエノールトの選手	34.098423,34.456112631575834
レースクイーン	11.305853,21.152435997516683
一般用医薬品	11.221697,21.44573606257939
日本の女性モデル	11.305853,21.8198561642399
物語世界内の観点に立って書かれている記事	11.547981,22.1731010361552
1965年の映画	11.472758,22.24257329297365
1988年の映画	11.333041,22.548219515010633
1994年の映画	11.306524,22.85386573704761
テレビ番組	11.712873,23.409235909751743
アメリカ合衆国の音楽プロデューサー	11.279983,23.233565856252056
2006年の映画	11.288376,23.56470746836604
2010年の音楽	11.532372,24.137382207693314
孤立	11.2586975,24.0867517563198
ゴールデングローブ賞受賞者	11.2314,24.339275103547205
イギリス海軍の同名艦	11.368794,24.706299623724163
プリンター	11.393437,25.202809032094386
2012年のカナダ	11.524214,26.02745785377667
日本の法の一覧	11.583363,26.387678308361355
フランスの写真家	11.252743,26.427196332556566
ロッテルダムのスポーツ	22.725617999999997,36.16485342846282
2012年のブラジル	11.376429,27.416079643696534
情報の更新が必要とされている項目/2014年	11.294725,27.587415207818186
ダーツ大会	11.294725,27.9111543616701
ブラジルの総合格闘家	23.212191,38.471499201701405
2008年のカナダ	11.228992,28.603426689837658
オランダのサッカー選手	22.705396999999998,39.259533806528786
ドイツ系アメリカ人	11.2314,29.479468326706264
ギリシャ系アメリカ人	11.2314,30.03524393138017
アダルト・コンテンポラリー	11.5201435,30.660926242182946
ブラジルのサッカークラブ	22.898922,42.39396486596604
オランダ	11.566965,32.584261957161154
2007年のコンピュータゲーム	11.601909,32.869366239451786
UFCのカナダ大会	22.753206,44.55323738760343
2008年のコンピュータゲーム	11.507862,33.81407749596246
アメリカ合衆国の歌手	11.5201435,34.17007475630318
サッカーのライバル対決	11.374996,34.48067579727469
日本の患者支援団体	11.235151,34.68305442977428
アメリカ合衆国の音楽賞	11.204885,35.1398153646045
宗教映画	11.262813,35.79682450973658
東欧ユダヤ系アメリカ人	11.5201435,36.5626062479302
バフィーのコミック	22.761116,49.616126072921986
アメリカ合衆国の公園	11.370409,37.66438461994707
アメリカ合衆国のコメディアン	11.2314,38.044942487923834
シングル	11.402207,38.92525083442567
カリブ海を舞台とした映画作品	11.262813,38.92191580892681
アメリカ合衆国の男性声優	11.21807,39.46900742219804
アーケードゲーム基板	11.292205,40.160848119225605
アメリカ合衆国の総合格闘技	11.223892,40.77297125727375
ジャカルタ	11.252743,41.31897090398009
イタリアを舞台とした映画作品	11.306524,41.89782222922711
デンマークの歌手	11.7615185,43.04777238983063
アメリカ合衆国のロマンティック・コメディ映画	22.779282000000002,57.71639030029293
日本のライトノベル作家	23.094409,58.916870232700134
2009年のモータースポーツ	11.205521,44.06190277018575
アメリカ合衆国の登山用品メーカー・ブランド	11.252743,44.905340393561154
フェイエノールト	22.725617999999997,61.147445257895434
2012年のアメリカ合衆国のスポーツ	11.419978,46.33541046135535
2010年のアルバム	11.222422,46.578279644237256
2006年のアメリカ合衆国のスポーツ	11.276817,47.26273127199284
2011年のアメリカ合衆国のスポーツ	11.266962,47.75411469335701
イングランドのロック・バンド	23.143500000000003,65.52954995858485
2010年の日本のスポーツ	11.306758,49.03539774496394
2011年の総合格闘技	11.266962,49.4547402558227
独自研究の除去が必要な記述のある記事/2013年1月-6月	11.507862,50.10643998298273
過去のフェイスネットワーク所属者	11.305853,50.226559620350265
2008年の日本のスポーツ	11.294979,50.99303979016504
特定非営利活動法人	11.235151,51.35780191632228
2009年のアルバム	11.516427,52.51046408309205
トニー・ヴィスコンティがプロデュースしたアルバム	11.200109,52.707913553184135
アフリカ系アメリカ人の俳優	11.279983,53.395057840766675
アメリカ合衆国の脚本家	11.2314,54.33889663903145
メジャーリーグ	11.270904,54.609116759908055
サッカーオランダ代表選手	22.705396999999998,73.62767227450416
Strikeforceの大会	11.265297,55.69348612600677
ハムスター	11.812609,57.41942724725154
ヘヴィメタル・ミュージシャン	11.7615185,58.44533085206946
NFLの試合	11.276817,58.12897723987761
K-1の大会	11.294979,58.66752142618733
ブルッヘ出身の人物	11.393026,59.77046351695531
ブルース・ミュージシャン	11.473619,60.6326645420294
サンディエゴ出身の人物	11.26085,60.74393970316615
アークティック・モンキーズのアルバム	11.627531,62.01045695106114
オランダのサッカー	11.374996,62.351097940609
榊原ゆいの楽曲	11.402207,63.32734519622402
全米映画俳優組合賞	11.662316,64.333175609005
ドーピング違反の総合格闘家	11.698256,65.1478749033402
スピンオフ作品	11.30229,65.12722130438577
2012年のアルバム	11.209969,65.94423006404023
1975年のアルバム	11.200109,66.46485692900778
魔法少女リリカルなのはシリーズの登場人物	11.547981,67.93085475131568
アダルトビデオ	11.374128,68.43201651132787
ドラマCD	11.516427,69.40720176120504
芸能人女子フットサル選手	11.305853,69.72291704833472
アメリカ合衆国のドラマ映画	11.333041,70.28874072388565
ブルースロック・バンド	11.503609,71.29954686835151
デヴィッド・ボウイのアルバム	11.200109,71.47362327859655
アメリカ合衆国のR&Bミュージシャン	11.2586975,72.48917748932351
2004年のアルバム	11.516427,73.95406811558287
2005年のアルバム	11.516427,74.51924607853397
2008年のアルバム	11.516427,75.08442404148504
1995年のアルバム	11.316101,75.64960200443615
サンパウロ州出身の人物	11.698256,77.08131253810149
1997年のアルバム	11.242956,76.78009279558725
1992年のアルバム	11.208993,77.34527075853832
大阪府出身の人物	11.280757,78.04197549644674
ラプソディー・オブ・ファイアのアルバム	11.222422,78.55558662355233
NBCユニバーサル・ジャパンの楽曲	11.402207,79.5152430125352
F1関係者	11.449381,80.19545642490193
ベスト・アルバム	11.242956,80.33068716301062
キングレコードの楽曲	11.516427,81.52729769297524
スコットランド系アメリカ人	11.2314,81.48091952860352
UFCのブラジル大会	11.376429,82.80391560613323
架空のクローン	11.547981,84.21405332035543
Facebook	11.755409,85.47399224871347
ゲーム主題歌	11.402207,85.51953815319884
ミシシッピ州の人物	11.473619,86.40919287910945
テネシー州の人物	11.473619,87.0205020585588
ワーナー・ブラザーズの作品	11.472758,87.91818274724419
アメリカ合衆国のアクション映画	11.262813,88.09749952336485
フロリダ州の人物	11.279983,88.78594182394266
RCAレコードのアルバム	11.200109,89.25220642165934
インディアナ州の人物	11.21807,89.96184853345575
ユナイテッド・アーティスツの作品	11.333041,91.32939405268878
架空の物質	11.515039,92.58244919331436
MTVネットワークス	11.204885,92.494076508931
ボン・ジョヴィのアルバム	11.208993,93.47957884446664
