## IMINE2-J-001	cvs
シングル	386.88454299999995
北川悠仁が制作した楽曲	386.41475849999995
ゆずのアルバム	243.51335599999996
岩沢厚治が制作した楽曲	205.914561
オリコンアルバムチャート1位獲得作品	121.07690500000001
ゆずの映像作品	120.90892200000002
アルバム	96.986976
ヘ長調の曲	72.5007315
2013年のシングル	60.5759825
ハ長調の曲	60.381635
ト長調の曲	60.360186
ミニ・アルバム	48.877826999999996
1999年のシングル	48.812021
2007年のシングル	48.5329915
2010年のシングル	48.441807000000004
ゆず (音楽グループ)	48.344013000000004
イ長調の曲	48.266760000000005
音楽	48.200439
2003年のシングル	47.990303
ホ長調の曲	36.527842
ベスト・アルバム	36.488319
2009年のシングル	36.377665
NHK紅白歌合戦歌唱楽曲	36.2895145
スペースシャワーTV - SUPER HITS PERFECT RANKING 50	36.2449955
2008年のシングル	36.22655
日本生命のコマーシャルソング	36.1863235
存命人物	36.170109
漫画	36.137851
2012年のシングル	36.128222
フジテレビの主題歌	36.11405
2011年のシングル	36.056787
ビデオ・クリップ集	35.880424000000005
2013年の音楽関連の映像作品	35.810958
ミカン属	26.964529
高知県の食文化	26.964529
京都府の食文化	26.964529
日本の調味料	26.964529
果物	26.964529
秋の季語	26.964529
精油	26.964529
2008年の音楽関連の映像作品	24.631771999999998
ライブ・アルバム	24.583883
1999年のアルバム	24.51533
1998年のアルバム	24.487408000000002
日本テレビのテレビアニメ主題歌	24.404405
HUNTER×HUNTER	24.404405
前山田健一が制作した楽曲	24.404405
アニメ映画主題歌	24.404405
2000年のアルバム	24.388088
スターダムに所属したプロレスラー	24.358131
ニ長調の曲	24.302463
コンセプト・アルバム	24.296447
1998年のシングル	24.258696
グラビアアイドル	24.250203
1983年生	24.250203
オリコン月間アルバムチャート1位獲得作品	24.24335
2010年の音楽関連の映像作品	24.195013000000003
コラボレーション・シングル	24.194513999999998
トイズファクトリーのアーティスト	24.193241
2009年のアルバム	24.156602999999997
トヨタ自動車のコマーシャルソング	24.144441
変ト長調の曲	24.129371499999998
2003年のアルバム	23.974319
2014年のシングル	23.969946
2004年のシングル	23.963687999999998
オリコンシングルチャート1位獲得作品	23.961894
長大な音楽作品名	23.929355
あいのり主題歌	23.923975
横浜市を題材とした楽曲	23.907832
2002年のシングル	23.80303
2013年のゴールドディスク	12.347293
2013年のアルバム	12.347293
2007年のアルバム	12.326421
人物の愛称	12.320051
2003年の音楽関連の映像作品	12.320015
ライブ・ビデオ	12.320015
2014年のアルバム	12.319983
2014年のゴールドディスク	12.319983
2008年のアルバム	12.293027
クリスマスソング	12.269334
小田和正の楽曲	12.269334
小田和正が制作した楽曲	12.269334
コマーシャルソング	12.269334
クリスマスの約束関連楽曲	12.269334
2006年のシングル	12.269334
1997年のアルバム	12.256932
2001年のアルバム	12.250469
覆面レスラー	12.238531
2005年のアルバム	12.238531
映画主題歌	12.19759
キマグレンの楽曲	12.19759
恋愛漫画	12.195061
菓子のコマーシャルソング	12.195061
漫画作品	12.195061
別冊フレンド	12.195061
末次由紀	12.195061
まんがくらぶ	12.184808
漫画作品	12.184808
ネコを主人公にした物語	12.184808
オリコンミリオンセラー達成アルバム	12.181916
ロ長調の曲	12.175422
三ツ矢サイダーのコマーシャルソング	12.175422
春を題材とした楽曲	12.165033
近畿地方のマスコット	12.158617
自治体のマスコット	12.158617
箕面市	12.158617
キャラクター	12.158617
果物をモチーフにしたマスコット	12.158617
1947年設立の企業	12.154158
日本の食品メーカー	12.154158
横須賀市の企業	12.154158
変ニ長調の曲	12.154158
TBSパナソニック ドラマシアターの主題歌	12.154158
カップ麺のコマーシャルソング	12.154158
日本のフォークグループ	12.150163
ドラえもん映画主題歌担当アーティスト	12.150163
日本のストリート出身ミュージシャン	12.150163
雑多な内容を箇条書きした節のある記事 - 2011年6月-8月	12.150163
SCHOOL OF LOCK!	12.150163
磯子区	12.150163
横浜市出身の人物	12.150163
NHK紅白歌合戦出演者	12.150163
日本のお笑いコンビ	12.141892
山形県出身の人物	12.130603
レースクイーン	12.130603
日本の俳優	12.130603
夏を題材とした楽曲	12.126833
春畑道哉が制作した楽曲	12.126833
1995年のシングル	12.126833
前田亘輝が制作した楽曲	12.126833
TUBEの楽曲	12.126833
日本の歌手グループ	12.12207
日本の女子プロレスラー	12.1196
覆面レスラーとして活動していたプロレスラー	12.1196
SUPER GTイメージガール	12.1196
プラチナムプロダクション	12.1196
愛媛県出身の人物	12.1196
日テレジェニック	12.1196
日本のタレント	12.1196
アイドル番組	12.115425
名古屋テレビの深夜番組	12.115425
2013年のテレビ番組 (日本)	12.115425
継続中の作品	12.115425
テレビ番組	12.115425
東海・北陸地方のテレビのミニ番組	12.115425
名古屋テレビの冠番組	12.115425
名古屋テレビのバラエティ番組	12.115425
渋谷区の企業	12.114659
音楽プロダクション	12.114659
トイズファクトリー	12.114659
名数5	12.105552
宝塚歌劇団	12.105552
変ホ長調の曲	12.104538
蔦谷好位置が制作した楽曲	12.090283
映画のサウンドトラック	12.087489
番場秀一の監督したミュージック・ビデオ	12.082109
サラリーマン金太郎	12.082109
太陽を題材とした楽曲	12.082109
テレビ朝日金曜ナイトドラマの主題歌	12.082109
2005年のシングル	12.082109
NHKのテレビドラマ主題歌	12.075537
NHK全国学校音楽コンクール課題曲	12.075537
Japan Hot 100チャート1位獲得作品	12.075537
日本のバンド	12.043078
連続テレビ小説主題歌	12.0418825
トリプルA面シングル	12.028169
北杜市の歴史	12.012744
山梨県の神社	12.012744
神道	12.012744
Yumingの楽曲	11.996924
Yumingが制作した楽曲	11.996924
トイズファクトリーのシングル	11.996924
2004年のアルバム	11.987217
同名の地名	11.986378
日本語の姓	11.986378
2006年の音楽関連の映像作品	11.986378
ヤングエース	11.986378
漫画作品	11.986378
育児を題材とした作品	11.966665
あらすじの不十分な作品記事	11.966665
UHFアニメ	11.966665
2004年のテレビアニメ	11.966665
漫画作品	11.966665
いじめを題材としたアニメ作品	11.966665
子供への虐待を扱った作品	11.966665
トムス・エンタテインメント	11.966665
アニマックスのアニメ	11.966665
いじめを題材とした漫画作品	11.966665
りぼんの漫画を原作とするアニメ作品	11.966665
アニメ	11.966665
りぼんの漫画作品	11.966665
アニメ作品 あ	11.966665
水曜劇場 (フジテレビ)の主題歌	11.96497
鳥を題材とした楽曲	11.96497
2000年のシングル	11.96497
変イ長調の曲	11.964786
2011年の音楽関連の映像作品	11.964786
2006年のアルバム	11.959968
オールナイトニッポンGOLD	11.957121
オールナイトニッポン	11.957121
ラジオ番組	11.957121
応援歌	11.935519
スポーツ音楽	11.935519
2002年のアルバム	11.930266
2012年のゴールドディスク	11.923367
2012年のアルバム	11.923367
お笑い芸人	11.919906
お笑い芸人	11.919906
松竹芸能	11.919906
桜を題材とした楽曲	11.917405
ドラえもんのアニメソング	11.879663
女装作品	11.879663
テレビ番組関連のコンピレーション・アルバム	11.841866
ポニーキャニオンのアルバム	11.841866
1931年生	11.841866
2006年没	11.841866
兵庫県出身の人物	11.841866
日本の写真家	11.841866
## IMINE2-J-003	フェイト
存命人物	182.60361500000002
UFCの大会	113.389232
コンピュータゲーム	45.91701499999999
WECの大会	45.850055
2009年のアメリカ合衆国のスポーツ	45.690989
2009年の総合格闘技	45.690989
2012年の総合格闘技	45.643841
2010年の総合格闘技	45.546948
2007年のアルバム	34.460059
2010年のアメリカ合衆国のスポーツ	34.24019
格闘技	34.132134
フェイエノールトの選手	34.098423
アルバム	34.068279
企業	34.007236
2008年の総合格闘技	33.76193
ブラジルの総合格闘家	23.212191
2006年のアルバム	23.152315
イングランドのロック・バンド	23.143500000000003
ロックの殿堂入りの人物	23.143500000000003
日本の小説家	23.094409
日本のライトノベル作家	23.094409
文人	23.094409
1981年生	23.091282
音楽	23.048902
参照方法	22.973479
ブラジルのサッカークラブ	22.898922
バイーア州	22.898922
ドナルド・フェイゲンのアルバム	22.845857
全英アルバムチャート1位獲得作品	22.836523999999997
サッカー選手	22.813125
ロードムービー	22.779282000000002
アメリカ合衆国のロマンティック・コメディ映画	22.779282000000002
1990年の映画	22.774402000000002
バフィーのコミック	22.761116
アフリカ系アメリカ人のミュージシャン	22.753602
UFCのカナダ大会	22.753206
ロッテルダムのスポーツ	22.725617999999997
フェイエノールト	22.725617999999997
コンピュータ	22.709538000000002
サッカーオランダ代表選手	22.705396999999998
オランダのサッカー選手	22.705396999999998
東京都出身の人物	22.611197
映画	22.569336999999997
サッカー	22.568438
1985年生	22.566703
フラワーカンパニーズのアルバム	22.559057
1979年生	22.538041
2008年のアメリカ合衆国のスポーツ	22.532938
アメリカ合衆国の俳優	22.511383000000002
動物	11.812609
ハムスター	11.812609
1980年生	11.773591
ヘヴィメタル・ミュージシャン	11.7615185
デンマークの歌手	11.7615185
コペンハーゲン出身の人物	11.7615185
1956年生	11.7615185
批判	11.755409
説明が求められている文章がある記事	11.755409
Facebook	11.755409
インターネットのプライバシー	11.755409
TBSのローカル番組	11.712873
TBSのミニ番組	11.712873
BS-TBSのテレビ番組	11.712873
TBSの音楽番組	11.712873
一社提供番組	11.712873
2010年のテレビ番組 (日本)	11.712873
テレビ番組	11.712873
ドーピング違反の総合格闘家	11.698256
Strikeforce王者	11.698256
サンパウロ州出身の人物	11.698256
デンマークのヘヴィメタル・バンド	11.665802
全米映画俳優組合賞	11.662316
アークティック・モンキーズのアルバム	11.627531
Touch! Generations	11.601909
2007年のコンピュータゲーム	11.601909
ニンテンドーDS用ソフト	11.601909
毒	11.583363
化学の一覧	11.583363
日本の化学物質関連法規	11.583363
日本の法の一覧	11.583363
オランダ	11.566965
北ホラント州の基礎自治体	11.566965
水樹奈々	11.547981
架空のクローン	11.547981
物語世界内の観点に立って書かれている記事	11.547981
魔法少女リリカルなのはシリーズの登場人物	11.547981
社会言語学	11.536222
オーラルコミュニケーション	11.536222
歌手	11.532372
韓国の歌手グループ	11.532372
2010年の音楽	11.532372
1941年設立	11.524246
2012年のカナダ	11.524214
アメリカ合衆国の歌手	11.5201435
アダルト・コンテンポラリー	11.5201435
1948年生	11.5201435
ニュージャージー州の人物	11.5201435
東欧ユダヤ系アメリカ人	11.5201435
2004年のアルバム	11.516427
2005年のアルバム	11.516427
2008年のアルバム	11.516427
2009年のアルバム	11.516427
キャラクターソング・アルバム	11.516427
キングレコードの楽曲	11.516427
テレビアニメのサウンドトラック	11.516427
ドラマCD	11.516427
魔法少女リリカルなのはの音楽	11.516427
架空の物質	11.515039
メトロイド	11.515039
1984年生	11.513935
キサダ出身の人物	11.513935
シャーロット・ボブキャッツ	11.513367
悪魔のいけにえ	11.511589
2008年のコンピュータゲーム	11.507862
Xbox 360用ソフト	11.507862
PlayStation 3用ソフト	11.507862
ブルースロック・バンド	11.503609
1909年生	11.473619
ミシシッピ州の人物	11.473619
テネシー州の人物	11.473619
1977年没	11.473619
ブルース・ミュージシャン	11.473619
ブレイク・エドワーズの監督映画	11.472758
アメリカ合衆国のスポーツ映画	11.472758
1965年の映画	11.472758
カーレースを題材にした映画・オリジナルビデオ	11.472758
ワーナー・ブラザーズの作品	11.472758
1999年没	11.449381
1944年生	11.449381
レーシングカー・デザイナー	11.449381
バーネット・ロンドン特別区出身の人物	11.449381
フェラーリの人物	11.449381
F1関係者	11.449381
SCヘーレンフェーンの選手	11.420099
ニューカッスル・ユナイテッドFCの選手	11.420099
ADOデン・ハーグの選手	11.420099
1989年生	11.420099
南ホラント州出身の人物	11.420099
2014 FIFAワールドカップ出場選手	11.420099
2012年のアメリカ合衆国のスポーツ	11.419978
Fateシリーズの音楽	11.402207
NBCユニバーサル・ジャパンの楽曲	11.402207
ゲーム主題歌	11.402207
シングル	11.402207
2008年のシングル	11.402207
榊原ゆいの楽曲	11.402207
ブラザー工業	11.393437
プリンター	11.393437
ブルッヘ出身の人物	11.393026
エクセルシオールの選手	11.393026
サッカーベルギー代表選手	11.393026
サークル・ブルッヘの選手	11.393026
KRCヘンクの選手	11.393026
ベルギーのサッカー選手	11.393026
レンジャーズの選手	11.393026
中京区の企業	11.380365
1992年設立の企業	11.380365
日本の情報・通信業	11.380365
東証一部上場企業	11.380365
UFCのブラジル大会	11.376429
2012年のブラジル	11.376429
サッカーのライバル対決	11.374996
オランダのサッカー	11.374996
1937年設立	11.374676
アダルトビデオ	11.374128
1997年設立の企業	11.374128
日本のアダルトビデオメーカー	11.374128
アメリカ合衆国の公園	11.370409
ポートランドの地理	11.370409
ポートランドの観光地	11.370409
イギリス海軍の同名艦	11.368794
オランダのサッカークラブ	11.350622
エンジェルのエピソード	11.3475275
アメリカ合衆国のインディー・ロック・バンド	11.336029
アメリカ合衆国のオルタナティヴ・ロック・バンド	11.336029
イギリスのインディー・ロック・バンド	11.336029
イギリスのオルタナティヴ・ロック・バンド	11.336029
ポストパンク・バンド	11.336029
1988年の映画	11.333041
アメリカ合衆国のドラマ映画	11.333041
ユナイテッド・アーティスツの作品	11.333041
小説を原作とする映画	11.333041
The Ultimate Fighter	11.32322
1982年生	11.320818
MSX	11.316101
1995年のアルバム	11.316101
2010年の日本のスポーツ	11.306758
DREAMの大会	11.306758
ノーマン・ジュイソンの監督映画	11.306524
イタリアを舞台とした映画作品	11.306524
1994年の映画	11.306524
ピッツバーグを舞台とした映画作品	11.306524
レースクイーン	11.305853
アイドル	11.305853
日本の女性モデル	11.305853
過去のフェイスネットワーク所属者	11.305853
芸能人女子フットサル選手	11.305853
市民活動家	11.305344
スペインの大学	11.302492
リェイダ県	11.302492
スピンオフ作品	11.30229
K-1の大会	11.294979
2008年の日本のスポーツ	11.294979
ダーツ大会	11.294725
スポーツリーグ	11.294725
アーケードゲーム基板	11.292205
2006年の映画	11.288376
イギリスのサイコスリラー映画	11.288376
リンブルフ州 (オランダ)出身の人物	11.285298
VfLヴォルフスブルクの選手	11.285298
フォルトゥナ・シッタートの選手	11.285298
PSVアイントホーフェンの選手	11.285298
インターネットの人物	11.280757
ゲームクリエイター	11.280757
ゲーム関係者	11.280757
大阪府出身の人物	11.280757
フロリダ州の人物	11.279983
アフリカ系アメリカ人の俳優	11.279983
アメリカ合衆国のR&B歌手	11.279983
アメリカ合衆国の音楽プロデューサー	11.279983
グラミー賞受賞者	11.279983
1973年生	11.279983
インディアナポリス・コルツ	11.276817
NFLの試合	11.276817
2006年のアメリカ合衆国のスポーツ	11.276817
ニューイングランド・ペイトリオッツ	11.276817
デトロイト・タイガース	11.270904
2013年のメジャーリーグベースボール	11.270904
ボストン・レッドソックス	11.270904
リーグチャンピオンシップシリーズ	11.270904
メジャーリーグ	11.270904
2011年のアメリカ合衆国のスポーツ	11.266962
2011年の総合格闘技	11.266962
Strikeforceの大会	11.265297
20世紀フォックスの作品	11.262813
アメリカ合衆国のアクション映画	11.262813
アメリカ合衆国のスリラー映画	11.262813
アメリカ合衆国の刑事映画	11.262813
カリブ海を舞台とした映画作品	11.262813
シカゴを舞台とした映画作品	11.262813
宗教映画	11.262813
アメリカ合衆国の総合格闘家	11.26085
サンディエゴ出身の人物	11.26085
メキシコ系アメリカ人の総合格闘家	11.26085
競走馬の血統	11.258955
アメリカ合衆国のR&Bミュージシャン	11.2586975
孤立	11.2586975
ファーロ県	11.253786
ポルトガルの都市	11.253786
キャンプ用品メーカー	11.252743
フランスの写真家	11.252743
ジャカルタ	11.252743
自動車展示会	11.252743
自動車	11.252743
1968年設立の企業	11.252743
アウトドア用ファッションブランド	11.252743
アメリカ合衆国の登山用品メーカー・ブランド	11.252743
サンフランシスコの企業	11.252743
セーヌ＝マリティーム県出身の人物	11.252743
1997年のアルバム	11.242956
ベスト・アルバム	11.242956
日本の患者支援団体	11.235151
特定非営利活動法人	11.235151
皮膚科学	11.235151
顔	11.235151
ペンシルベニア州の人物	11.2314
アメリカ合衆国のコメディアン	11.2314
アメリカ合衆国の脚本家	11.2314
エミー賞受賞者	11.2314
ギリシャ系アメリカ人	11.2314
ゴールデングローブ賞受賞者	11.2314
サタデー・ナイト・ライブ	11.2314
スコットランド系アメリカ人	11.2314
1970年生	11.2314
ドイツ系アメリカ人	11.2314
2008年のカナダ	11.228992
アメリカ合衆国の総合格闘技	11.223892
格闘技関連一覧	11.223892
2010年のアルバム	11.222422
ラプソディー・オブ・ファイアのアルバム	11.222422
一般用医薬品	11.221697
薬学	11.221697
1913年生	11.21807
1971年没	11.21807
アメリカ合衆国の男性声優	11.21807
声優	11.21807
インディアナ州の人物	11.21807
サウジアラビアのサッカークラブ	11.217816
2012年のアルバム	11.209969
ボン・ジョヴィのアルバム	11.208993
1992年のアルバム	11.208993
2009年のモータースポーツ	11.205521
NASCAR	11.205521
アメリカ合衆国の音楽賞	11.204885
MTVネットワークス	11.204885
RCAレコードのアルバム	11.200109
1975年のアルバム	11.200109
デヴィッド・ボウイのアルバム	11.200109
トニー・ヴィスコンティがプロデュースしたアルバム	11.200109
## IMINE2-J-004	壁紙
存命人物	163.99931000000004
インテリア	149.271399
装飾	149.24537
建築	148.88056500000002
建築材料	148.88056500000002
企業	130.500142
日本のイラストレーター	88.471079
シングル	73.09683000000001
Leadの楽曲	73.09683000000001
住宅関連企業	64.53953
美術家	62.931286
グラフィカルユーザインタフェース	39.175204
日本の漫画家	38.19569
ソフトウェア	38.064416
美少女ゲーム	37.863216
アダルトゲーム	36.883387
コンピュータゲーム	36.874986
2003年のシングル	36.656165
Windows用ゲームソフト	36.513024
キャラクター	35.889085
渋谷区の企業	28.11583
フリーウェア	27.646676
日本のウェブサイト	26.383253
アダルトゲームのファンディスク	26.046581
KDE	26.031722000000002
漫画家	25.864322
ゲームのグラフィッカー・原画家	25.856726000000002
東京都出身の人物	25.821078999999997
日本の卸売企業	25.744135
日本の地理	25.590822000000003
老舗企業 (明治創業)	25.382173
継続中の作品	25.277483
紙	25.099442
日本のアニメーター	24.87949
兵庫県出身の人物	24.517543
1979年生	24.517543
映画主題歌	24.407638
2002年のシングル	24.407638
孤立	24.364395000000002
携帯電話端末 (シャープ)	24.218020000000003
1971年生	24.002433
オープンソース	23.484155
アルバム	23.484155
2009年のアダルトゲーム	23.482433
Piaキャロットへようこそ!!	23.34213
PlayStation Portable用ソフト	23.34213
GNソフトウェアのゲームソフト	23.34213
繊維	23.34213
20世紀美術	23.122193000000003
九州地方のマスコット	23.122193000000003
美術	23.122193000000003
放送局のマスコット	23.122193000000003
山岳	22.902256
兵庫県	22.902256
エピックレコードジャパンのシングル	22.902256
2007年のシングル	22.902256
神戸市中央区の地理	22.902256
ページサイズ順山岳ページ一覧 (小)	22.902256
六甲山地	22.902256
兵庫県の山	22.902256
コンピュータ	14.533815
音楽のウェブサイト	14.533815
アルザス地域圏	14.448749
フランスの博物館	14.448749
博物館	14.448749
技能士	14.42272
1944年生	14.398784
美瑛町の地理	14.139694
石狩川水系	14.139694
北海道の自然景勝地	14.139694
日本の池	14.139694
北海道	14.139694
自治体のマスコット	14.057915
高岡市	14.057915
五反田	14.057915
中部地方のマスコット	14.057915
品川区の企業	14.057915
GMOインターネットグループ	14.057915
2000年設立の企業	14.057915
実在の人物がモデルのマスコット	14.057915
OSのプロセス管理	13.998695
新宿区の企業	13.711108
豊田通商	13.711108
ジャスダック上場企業	13.711108
1949年設立の企業	13.711108
オリジナルキャラクター	13.647485
2002年のアダルトゲーム	13.541257
CIRCUSのゲームソフト	13.541257
大阪府出身の人物	13.489711
共有筆名	13.489711
日本の事務用品メーカー	13.437144
組織学	13.437144
東大阪市の企業	13.437144
ゲームクリエイター	13.208425
マッドハウスの人物	13.208425
文人	13.066415
衣料	13.066415
訳語に疑問点のある記事	13.066415
大阪市西区の企業	13.066415
白石市	13.066415
コンピュータ	13.066415
高知県出身の人物	13.066415
京都大学出身の人物	13.066415
歌人	13.066415
San-Xキャラクター	12.766892
スマートフォン	12.766892
携帯電話端末 (ディズニー・モバイル 第三世代)	12.766892
携帯電話	12.766892
4コマ漫画	12.766892
まんがタイムきらら	12.766892
コンピュータゲームを題材にした作品	12.766892
漫画作品	12.766892
国際ローミング対応機種	12.766892
Bluetooth搭載機器	12.766892
Android端末 (シャープ)	12.766892
オペレーティングシステム	12.766892
架空のカエル	12.766892
AXGP端末 (ディズニー・モバイル)	12.766892
漫画	12.766892
2013年のコンピュータゲーム	12.510591
1978年生	12.510591
TYPE-MOON作品のスピンオフ作品	12.510591
2001年のアダルトゲーム	12.510591
ゲームのスピンオフ作品	12.510591
マブラヴ	12.510591
2010年のアダルトゲーム	12.505324
D.C. 〜ダ・カーポ〜	12.505324
アダルトゲームのクロスオーバー作品	12.505324
恋愛アドベンチャーゲーム	12.505324
三鷹市の企業	12.374611
日本の建設会社	12.374611
甲府市の企業	12.374611
インターネット	12.374611
ウェブサイト	12.374611
2008年のシングル	12.374611
POLYSICSの楽曲	12.374611
アニメ作品 と	12.374611
アメリカ合衆国のアニメーション作品	12.374611
トイ・ストーリーシリーズ	12.374611
可塑剤	12.331368
鉄道	12.331368
鉄道シミュレーションゲーム	12.331368
名古屋市交通局	12.331368
徳島県出身の人物	12.331368
1984年生	12.331368
娯楽のウェブサイト	12.331368
かつて存在したウェブサイト	12.331368
SBクリエイティブ	12.331368
GA文庫	12.331368
芳香族化合物	12.331368
2004年設立の企業	12.331368
化成品	12.331368
神戸市西区の企業	12.331368
複合材料	12.331368
合成樹脂	12.331368
包装	12.331368
日本の絵本作家	12.331368
女子美術大学出身の人物	12.331368
日本のリフォームに関する企業	12.331368
フタル酸エステル	12.331368
壁	12.302709
建築構造	12.302709
住宅	12.302709
神道	12.033027
和紙	12.033027
PlaceEngine	12.033027
印刷	12.033027
大阪市の神社	12.033027
天王寺・阿倍野	12.033027
天王寺区の歴史	12.033027
PSP用GPSレシーバー対応ソフト	12.033027
2001年の音楽関連の映像作品	12.033027
ビデオ・クリップ集	12.033027
ヒップホップのアルバム	12.033027
化学	12.033027
有機ヒ素化合物	12.033027
複素環式化合物	12.033027
容器	12.033027
工業製品	12.033027
名古屋市中区の企業	12.033027
Mixi	12.033027
ソーシャルゲーム	12.033027
2011年のゴールドディスク	12.033027
育成シミュレーションゲーム	12.033027
2005年のシングル	12.033027
2010年のシングル	12.033027
2011年のアルバム	12.033027
テレビドラマ主題歌	12.033027
松井五郎が制作した楽曲	12.033027
鈴木雅之の楽曲	12.033027
1955年設立の企業	12.033027
LiveCD	12.033027
週刊少年ジャンプ	11.849438
性表現を含む表題のアドベンチャーゲーム	11.811368
アニメを用いたアダルトゲーム	11.811368
スワンアイ	11.811368
インセストを題材としたフィクション作品	11.811368
吸血鬼を題材としたコンピュータゲーム	11.811368
妊娠を主題としたアダルトゲーム	11.811368
Microsoft Windows	11.811368
書籍	11.671065
野球に関する記事	11.671065
交通事故死した人物	11.671065
イギリスの文化	11.671065
ボルチモア・オリオールズの選手	11.671065
